0,1,2,3
Country of Residence,Arrivals,By Air,By Sea
Netherlands,"51,148","50,989",159
Norway,"14,159","14,065",94
Spain,"22,361","22,250",111
Sweden,"24,275","24,221",54
Switzerland,"28,402","28,299",103
United	Kingdom,"201,879","199,914","1,965"
Others,"21,677","21,672",5
EASTERN EUROPE,"161,967","155,024","6,943"
Russia,"59,191","58,492",699
Ukraine,"32,346","30,626","1,720"
Others,"70,430","65,906","4,524"
MIDDLE EAST,"95,581","95,476",105
AFRICA,"12,703","12,414",289
ASIA,"962,395","950,511","11,884"
China	(P.R.),"268,952","268,113",839
India,"384,628","378,502","6,126"
Indonesia,"25,806","25,576",230
Japan,"44,988","44,929",59
South	Korea,"15,963","15,770",193
Malaysia,"26,414","26,288",126
Maldives,"79,371","79,358",13
Pakistan,"31,815","31,641",174
Philippines,"16,845","14,260","2,585"
Singapore,"19,457","19,366",91
Thailand,"10,828","10,795",33
Bangladesh,"15,510","15,262",248
Others,"21,818","20,651","1,167"
AUSTRALASIA,"92,003","91,464",539
Australia,"81,281","80,830",451
New	Zealand,"10,332","10,264",68
Others,390,370,20
Total,"2,116,407","2,090,763","25,644"
