0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Tourist Arrivals by Country of Residence & Month - 2014,,,,,,,,,,,,,
,,,,,,,,,,,,,,Season
Country of,,,,,,,,,,,,,,-ality
Residence,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ratio
NORTH AMERICA,"72,653","6,909","5,489","6,042","5,514","4,745","6,889","7,234","5,965","3,835","5,206","4,941","9,884",1.6
Canada,"33,282","3,070","2,609","2,641","2,417","2,296","3,759","3,741","3,317","1,644","1,931","1,990","3,867",1.4
U.S.A.,"39,371","3,839","2,880","3,401","3,097","2,449","3,130","3,493","2,648","2,191","3,275","2,951","6,017",1.8
LATIN AMERICA &,,,,,,,,,,,,,,
THE CARIBBEAN,"4,124",386,373,350,281,474,193,268,245,322,373,332,527,1.5
WESTERN EUROPE,"479,007","46,301","52,635","44,824","37,369","19,476","23,205","54,857","48,253","28,234","32,061","35,915","55,877",1.4
Austria,"12,664","1,652","2,086","1,482",893,395,348,"1,034",758,570,605,"1,018","1,823",2.0
Belgium,"9,915",723,"1,027",817,867,286,538,"1,866",968,684,479,629,"1,031",2.3
Denmark,"11,239","1,700","1,872",821,785,193,633,"1,679",461,310,566,467,"1,752",2.0
France,"78,883","8,430","10,617","9,266","5,970","2,875","2,882","9,095","8,746","3,897","4,523","5,448","7,134",1.6
Germany,"102,977","9,211","11,305","12,448","8,137","4,423","4,328","7,921","10,364","6,996","7,966","9,049","10,289",1.5
Netherlands,"24,196","1,958","2,066","1,540","1,442",973,"1,068","5,582","2,490","1,742","1,509","1,498","2,328",2.8
Italy,"21,116","2,497","2,177","1,592","1,511",732,"1,068","1,673","3,043","1,125","1,060","1,519","3,119",1.8
Norway,"9,237",739,811,474,459,257,"1,509","1,800",403,362,471,679,"1,273",2.3
Spain,"11,914",604,584,564,912,506,564,"1,276","2,608","1,075","1,210",968,"1,043",2.6
Sweden,"14,259","2,242","1,999","1,073",669,283,653,602,343,373,858,"1,142","4,022",3.4
