0,1,2,3,4,5,6,7,8,9,10,11
,,Passenger Arrivals and Departures - 1980 to 2014,,,,,,,,,
,Katunayake,Mattala,,Colombo Port,Galle Port,,Talaimannar,,Other Ports,Total,
Year,DepArr,Arr,Dep,DepArr,DepArr,,DepArr,,DepArr,Arr,Dep
1980,"364,018388,270",-,-,--,-,-,"81,524","79,020","3,3091,966","448,851","469,256"
1981,"493,619562,421",,,,,,"82,003","72,800","2,5992,456","578,221","637,677"
1982,"584,326546,490",,,,,,"95,108","106,876","2,2262,175","681,660","655,541"
1983,"559,276534,217",,,,,,"70,402","93,168","1,8622,277","631,540","629,662"
1984,"593,883650,812",,,,,,"61,568","99,796","1,7381,760","657,189","752,368"
1985,"543,397585,213",,,,,,,,"1,9271,735","545,324","586,948"
1986,"570,304591,448",,,,,,-,-,"1,8751,561","572,179","593,009"
1987,"512,289548,408",,,,,,--,--,"1,7971,533","514,086","549,941"
1988,"516,400544,760",,,,,,,,"2,1002,200","518,500","546,960"
1989,"552,189563,027",,,,,,,,"1,4931,286","553,682","564,313"
1990,"603,595581,698",,,,,,,,"3,4931,756","607,088","583,454"
1991,"646,869712,073",,,,,,,,"2,7062,366","649,575","714,439"
1992,"764,453836,310",,,,,,,,"2,7942,919","767,247","839,229"
1993,"813,535823,841",,,,,,,,"3,5513,134","817,086","826,975"
1994,"893,387892,778",---------------------------,---------------------------,------------------------------------------------------,---------------------------,---------------------------,,,"4,1204,392","897,507","897,170"
1995,"912,877946,109",,,,,,,,"5,8978,105","918,774","954,214"
1996,"857,727851,272",,,,,,,,"3,6283,668","861,355","854,940"
1997,"904,712916,397",,,,,,,,"3,7933,578","908,505","919,975"
1998,"921,343938,656",,,,,,,,"3,7933,619","925,136","942,275"
1999,"970,311977,066",,,,,,---------------------,---------------------,"3,5953,114","973,906","980,180"
2000,"999,418970,383",,,,,,,,"2,9332,827","1,002,351","973,210"
2001,"971,621962,586",,,,,,,,"2,9422,682","974,563","965,268"
2002,"912,419950,655",,,,,,,,"2,9472,804","915,366","953,459"
2003,"1,140,6871,102,864",,,,,,,,"1,5321,729","1,142,219","1,104,593"
2004,"1,459,5751,484,685",,,,,,,,"2,1122,255","1,461,687","1,486,940"
2005,"1,360,2171,396,227",,,,,,,,"1,9301,560","1,362,147","1,397,787"
2006,"1,444,4081,474,559",,,,,,,,360401,"1,444,768","1,474,960"
2007,"1,529,9301,565,341",,,,,,,,3382 1 1,"1,530,268","1,565,552"
2008,"1,644,1721,707,376",-,-,--,-,-,,,145168,"1,644,317","1,707,544"
2009,"1,644,1421,673,265",-,-,--,-,-,,,420379,"1,644,562","1,673,644"
2010,"2,111,6292,128,404",-,-,--,-,-,,,385356,"2,112,014","2,128,760"
2011,"2,435,6602,464,622",,,"1,8421,842",,,,,"1,8421,842","2,437,502","2,466,464"
2012,"2,568,7872,518,082",--,--,"3,1363,136",--,--,- ----,- ----,-,"2,521,218","2,571,871"
2013,"2,593,8182,644,467","2,828","2,850","6,0107,238","21,366","18,738",,,"3,1363,084","2,625,250","2,672,065"
2014,"2,757,6672,884,767","4,052","3,256","6,7107,196","22,218","20,143",,,-_-,"2,790,647","2,915,362"
,,,,,,,,Source - Department of Immigration & Emigration,,,
