0,1,2,3,4,5,6
,,2013,,,2014,
Country of,,,,,,
,Arrivals,Average Duration,Tourist,Arrivals,Average Duration,Tourist
Residence,,,,,,
,,of Stay,Nights,,of Stay,Nights
NORTH AMERICA,"65,616",9.7,"636,006","72,653",12.1,"876,991"
Canada,"30,926",10.5,"324,250","33,282",11.8,"392,728"
U.S.A.,"34,690",9.0,"311,756","39,371",12.3,"484,263"
LATIN AMERICA &,,,,,,
THE CARIBBEAN,"3,166",9.4,"29,717","4,124",8.7,"35,879"
WESTERN EUROPE,"421,037",12.3,"5,173,278","479,007",14.1,"6,705,348"
Austria,"11,300",14.9,"168,125","12,664",16.0,"202,624"
Belgium,"9,138",11.9,"108,584","9,915",11.0,"109,065"
Denmark,"9,845",12.2,"119,934","11,239",17.8,"200,054"
Finland,"2,471",14.3,"35,284","2,903",16.0,"46,448"
France,"64,388",11.2,"720,096","78,883",12.5,"986,038"
Germany,"85,470",13.6,"1,160,700","102,977",15.8,"1,627,037"
Italy,"17,982",10.8,"193,923","21,116",15.3,"323,075"
Netherlands,"22,281",14.0,"311,480","24,196",17.3,"418,591"
Norway,"8,573",12.1,"103,582","9,237",8.5,"78,515"
Spain,"8,183",11.6,"94,785","11,914",11.8,"140,585"
Sweden,"12,597",15.0,"188,680","14,259",14.3,"203,904"
Switzerland,"19,141",13.0,"248,471","20,097",15.5,"311,504"
U.K,"137,416",11.4,"1,564,261","144,168",13.0,"1,874,184"
Others,"12,252",12.7,"155,373","15,439",11.9,"183,724"
EASTERN EUROPE,"125,695",8.9,"1,114,983","154,153",8.5,"1,340,971"
Russia,"51,235",9.5,"486,024","69,718",10.0,"697,180"
Ukraine,"38,607",8.7,"335,392","29,882",8.4,"251,009"
Others,"35,853",8.2,"293,567","54,553",7.2,"392,782"
MIDDLE EAST,"80,509",7.2,"578,821","88,991",9.5,"845,415"
AFRICA,"8,081",10.9,"87,955","12,163",8.6,"104,602"
ASIA,"509,653",4.9,"2,505,226","650,810",6.5,"4,366,376"
China (P.R.),"54,288",6.7,"363,200","128,166",9.8,"1,256,027"
India,"208,795",4.3,"896,512","242,734",5.3,"1,286,490"
Indonesia,"17,295",3.7,"63,899","29,558",3.0,"88,674"
Japan,"31,505",6.0,"188,755","39,136",9.7,"379,619"
Korea (South),"12,207",6.3,"76,792","13,412",5.0,"67,060"
Malaysia,"19,181",4.3,"82,358","23,178",7.0,"162,246"
Maldives,"79,474",5.7,"452,343","86,359",7.0,"604,513"
Pakistan,"25,336",3.8,"96,137","25,424",4.5,"114,408"
Philippines,"14,616",3.2,"46,703","11,160",6.0,"66,960"
Singapore,"15,546",5.4,"83,826","15,762",7.5,"118,215"
Thailand,"9,608",6.4,"61,401","9,260",8.5,"78,710"
Bangaladesh,"10,037",3.8,"38,085","10,754",5.5,"59,147"
Others,"11,765",4.7,"55,215","15,907",5.3,"84,307"
AUSTRALASIA,"60,836",12.9,"783,064","65,252",11.1,"803,136"
Australia,"54,252",12.4,"671,745","57,940",12.0,"695,280"
New Zealand,"6,174",14.9,"91,859","6,880",15.3,"105,264"
Others,410,47.5,"19,460",432,6.0,"2,592"
Total,"1,274,593",8.6,"10,909,050","1,527,153",9.9,"15,118,815"
