0,1,2,3,4,5,6,7,8,9,10
,Percentage Distribution of Arrivals - 2005 to 2014,,,,,,,,,
Port,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Katunayake (BIA),99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.7,98.8,98.1
Mattala (MRIA),-,-,-,-,-,-,-,-,0.1,0.1
TOTAL AIR,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.7,98.9,98.2
Galle Harbour,-,-,-,-,-,-,-,-,0.8,1.4
Colombo Harbour,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4
TOTAL  SEA,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,1.1,1.8
Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
,Source : Department of Immigration & Emigration,,,,,,,,,
