0,1,2,3,4,5,6,7,8,9
,"Tourist Arrivals by Country of Residence, Sex & Age - 2014",,,,,,,,
Country of,Total,,Sex,,,,Age Groups,,
Residence,,Male,Female,(3-19),(20-29),(30-39),(40-49),(50-59),(60 & Over)
NORTH AMERICA,"72,653","39,416","32,237","9,486","8,963","13,034","14,241","14,160","12,769"
Canada,"33,282","18,010","15,272","5,302","3,521","5,053","6,313","6,673","6,420"
USA,"39,371","21,406","17,965","4,184","5,442","7,981","7,928","7,487",
,,,,,,,,,"6,349"
LATIN AMERICA &,,,,,,,,,
THE CARIBBEAN,"4,124","1,862","2,262",279,692,"1,135",800,658,560
WESTERN EUROPE,"479,007","245,113","233,894","53,680","73,753","90,400","86,335","91,417","83,422"
Austria,"12,664","5,924","6,740",617,"2,285","2,155","2,239","2,934","2,434"
Belgium,"9,915","5,047","4,868","1,189","1,809","1,618","1,885","1,960","1,454"
Denmark,"11,239","5,486","5,753","1,960","2,052","1,611","1,686","1,920","2,010"
Finland,"2,903","1,351","1,552",252,659,643,375,400,574
France,"78,883","38,615","40,268","9,949","12,411","13,949","12,856","15,094","14,624"
Netherlands,"24,196","12,579","11,617","3,057","4,462","3,908","3,977","4,449","4,343"
Italy,"21,116","11,615","9,501","1,544","2,958","5,347","4,316","3,786","3,165"
Norway,"9,237","4,828","4,409","1,862","1,409","1,307","1,813","1,595","1,251"
Spain,"11,914","5,982","5,932",573,"1,819","4,471","2,284","1,747","1,020"
Sweden,"14,259","7,038","7,221","1,938","2,592","2,363","2,226","2,413","2,727"
Switzerland,"20,097","9,966","10,131","3,027","3,091","3,233","3,959","4,149","2,638"
UK,"144,168","80,932","63,236","18,492","19,400","26,566","26,199","25,209","28,302"
Germany,"102,977","50,110","52,867","8,475","16,614","17,535","18,389","24,282","17,682"
Others,"15,439","5,640","9,799",745,"2,192","5,694","4,131","1,479","1,198"
EASTERN EUROPE,"154,153","72,358","81,795","9,778","39,569","45,965","30,566","19,316","8,959"
Russia,"69,718","30,298","39,420","5,296","20,532","19,991","12,441","8,549","2,909"
Ukraine,"29,882","13,870","16,012","1,021","8,772","9,647","6,451","3,075",916
Others,"54,553","28,190","26,363","3,461","10,265","16,327","11,674","7,692","5,134"
AFRICA,"12,163","5,996","6,167","1,029","2,527","3,297","2,521","1,887",902
South Africa,"4,064","2,503","1,561",349,628,"1,148",973,572,394
Others,"8,099","3,493","4,606",680,"1,899","2,149","1,548","1,315",508
MIDDLE EAST,"88,991","46,231","42,760","15,607","24,219","22,046","13,789","8,893","4,437"
Israel,"3,852","2,322","1,530",172,"1,379",530,467,444,860
Saudi Arabia,"30,390","19,015","11,375","5,649","8,453","7,314","4,736","3,162","1,076"
Kuwait,"7,784","4,658","3,126","1,800","1,689","1,355","1,340","1,078",522
Oman,"12,612","7,198","5,414","2,558","4,346","3,249","1,637",590,232
Others,"34,353","13,038","21,315","5,428","8,352","9,598","5,609","3,619","1,747"
EAST ASIA,"280,432","141,955","138,477","14,682","43,326","72,404","65,498","46,984","37,538"
China,"128,166","60,857","67,309","8,833","26,906","34,657","28,159","19,279","10,332"
Indonesia,"29,558","13,091","16,467",822,"2,235","7,762","8,146","5,404","5,189"
Japan,"39,136","20,406","18,730",564,"4,837","9,143","8,383","5,868","10,341"
Malaysia,"23,178","13,048","10,130","1,591","2,627","5,212","5,470","4,582","3,696"
Philippines,"11,160","7,328","3,832",258,"1,224","4,914","3,871",667,226
Singapore,"15,762","9,489","6,273","1,205","1,735","2,938","3,668","3,787","2,429"
Thailand,"9,260","4,130","5,130",165,862,"2,418","2,260","1,825","1,730"
Taiwan,"5,381","2,822","2,559",260,578,"1,242","1,115","1,198",988
South Korea,"13,412","8,689","4,723",816,"1,450","2,562","3,222","3,469","1,893"
Others,"5,419","2,095","3,324",168,872,"1,556","1,204",905,714
SOUTH ASIA,"370,378","257,182","113,196","31,428","65,556","103,297","89,130","52,055","28,912"
India,"242,734","184,481","58,253","16,202","37,298","67,523","61,838","37,777","22,096"
Maldives,"86,359","50,872","35,487","12,147","20,116","22,818","17,117","9,423","4,738"
Pakistan,"25,424","18,935","6,489","1,962","4,312","8,145","6,774","2,874","1,357"
Others,"15,861","2,894","12,967","1,117","3,830","4,811","3,401","1,981",721
AUSTRALASIA,"65,252","34,969","30,283","8,641","11,081","11,145","11,166","12,041","11,178"
Australia,"57,940","31,026","26,914","8,229","9,797","9,671","9,751","10,446","10,046"
New Zealand,"6,880","3,821","3,059",382,"1,159","1,372","1,331","1,531","1,105"
Others,432,122,310,30,125,102,84,64,27
Total,"1,527,153","845,082","682,071","144,610","269,686","362,723","314,046","247,411","188,677"
