0,1,2,3,4,5,6,7,8,9,10,11
,,Occupancy Rates by Region  - 2004 to 2014,,,,,,,,,
Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Colombo City,75.5,76.3,64.3,63.9,57.1,57.8,78.3,84.0,75.8,75.2,75.9
Greater Colombo,52.9,44.8,48.0,49.3,52.6,52.7,75.1,79.5,74.5,70.1,74.0
South Coast,52.6,31.5,41.2,47.6,46.1,49.6,71.9,78.1,73.9,70.2,73.6
East Coast,44.2,29.1,16.9,18.0,21.6,37.8,70.0,75.7,68.2,69.8,73.8
High Country,52.4,36.6,39.9,41.2,34.2,42.2,63.5,73.3,68.1,73.2,74.9
Ancient Cities,60.4,39.5,43.3,40.3,35.2,44.4,62.6,71.7,66.5,73.5,75.0
Northern Region,-,-,-,-,-,-,-,-,-,69.9,72.4
All Regions,59.3,45.4,47.8,46.2,43.9,48.4,70.1,77.1,71.2,71.7,74.3
