0,1,2,3
"Top ten source markets, 1st to 28th February 2023",,,
,,Number of,
Rank,Country,,
,,Tourists,Share %
1,Russian Federation,"29,084",27%
2,India,"13,714",13%
3,United Kingdom,"8,575",8%
4,Germany,"7,930",7%
5,France,"6,118",6%
6,Australia,"3,113",3%
7,Canada,"3,107",3%
8,United States,"2,443",2%
9,Israel,"2,188",2%
10,Maldives,"1,818",2%
,O,,28%
11,ther,"29,549",
