0,1,2,3
,,,6
,Monthly Tourist Arrivals Report – September 2023,,
,Top primary markets and top potential markets,,
,"Top primary  markets, September 2023",,
,India,,
,,Spain,
,"Arrivals : 30,063 | % Share: 26.8",,
,,"Arrivals: 2,414 |  % Share : 2.1",
,China,United States,
,"Arrivals: 8,445  | % Share: 7.5","Arrivals: 2,357 | % Share : 2.1",
,United Kingdom,Maldives,
,"Arrivals: 7,504 | % Share : 6.7","Arrivals: 2,287 | % Share : 2.0",
,Germany,,
,,Japan,
,"Arrivals : 7,231 | % Share : 6.4",,
,,"Arrivals: 1,830 | % Share : 1.6",
,Russia Federation,Switzerlands,
,"Arrivals: 7,163 | % Share : 6.3","Arrivals: 1,638 | % Share : 1.4",
,Australia,Poland,
,,"Arrivals: 1,599 | % Share: 1.4",
,"Arrivals: 5,969  | % Share:  5.3",,
,Israel,,
,,Iran,
,"Arrivals: 4,162 | % Share : 3.7",,
,,"Arrivals: 1,593 | % Share : 1.4",
,Netherlands,,
,,Bangaladesh,
,"Arrivals: 3,177 | % Share: 2.8",,
N,,"Arrivals: 1,441 | % Share: 1.2",
,France,Pakistan,
,"Arrivals: 2,661 | % Share:  2.3","Arrivals: 1,391 | % Share: 1.2",
,,Italy,
,Canada,,
,,"Arrivals: 1,257 | % Share : 1.1",
,"Arrivals:  2,426 | % Share: 2.2",,
,ote: The top primary markets for Sri Lanka have been identified using visitor arrivals. The previous methodology used to identify,,
the markets was altered due to the current arrival trends in the source markets and the socio economic factors in Sri Lanka.  The,,,
"intention is to track these source markets on a go-forward basis to understand future performance of Sri Lanka’s tourism economy,",,,
"including during the projected international tourism recovery period, 2022 -2025.",,,
