0,1,2,3,4,5
"Country of 
Residence",2012,2013,2014,2015,2016
"LATIN AMERICA & 
THE CARIBBEAN","1,626","3,166","4,124","4,628","5,625"
Argentina,387,400,509,550,771
Chille,-,255,366,433,524
Colombia,-,268,340,466,567
Brazil,476,803,"1,071","1,341","1,385"
Others,763,"1,440","1,838","1,838","2,378"
"WESTERN EUROPE-
OTHERS","5,387","12,252","15,439","16,798","19,673"
Greece,"1,415","4,010","5,002","5,144","4,573"
Ireland,"1,951","4,512","5,163","5,970","7,968"
Portugal,"1,284","2,097","2,620","3,001","4,095"
Others,737,"1,633","2,654","2,683","3,037"
OTHERS,"21,651","35,853","54,553","54,553","71,693"
Czech. Republic,"5,877","8,881","11,736","15,278","17,858"
Hungary,"1,418","1,653","2,697","2,955","3,942"
Poland,"5,806","9,688","13,370","13,245","14,432"
Romania,"1,029","1,687","2,331","3,107","3,466"
Slovakia,"2,040","1,731","2,411","4,214","5,696"
Lithuania,"1,078","1,405","1,858","1,764","2,372"
Turkey,"1,460","2,399","2,500","3,108","3,804"
Kazakhstan,996,"2,362","3,750","6,371","5,285"
Others,"1,947","6,047","13,900","4,511","14,838"
AFRICA -OTHERS,"1,997","4,715","8,008","8,182","6,936"
Kenya,645,507,665,601,706
Mauritius,284,288,347,430,550
Nigeria,684,550,487,390,343
Sudan,-,426,718,665,902
Others,270,"2,815","5,755","5,818","4,435"
MIDDLE  EAST,"56,169","80,509","88,991","101,066","107,635"
Baharain,"2,016","2,743","2,699","2,697","2,887"
Iran,"1,815","2,058","2,809","3,486","5,862"
Isreal,"7,212","8,545","8,058","7,790","10,391"
Jordan,"1,852","2,976","2,998","3,370","4,488"
Kuwait,"3,245","7,427","8,170","6,522","5,726"
Lebanon,"2,116","3,371","3,714","4,829","6,000"
Oman,"2,602","7,634","12,756","14,216","13,268"
Saudi Arabia,"19,423","23,753","30,875","36,617","38,836"
Qatar,"2,271","1,073","1,400","1,547","1,709"
UAE,"11,083","8,471","9,895","10,576","8,475"
Egypt,800,"1,806","2,179","2,734","3,240"
Others,"1,734","10,652","3,438","6,682","6,753"
ASIA -OTHERS,5172,"5,815","7,395","6,765","8,783"
Myanmar,1108,"2,848","2,644","2,794","3,645"
Vietnam,906,"1,163","1,432","1,798","2,114"
Afganistan,649,559,699,587,869
Bhutan,831,266,425,397,462
Others,"1,678",979,"2,195","1,189","1,693"
TOTAL,"92,002","142,310","178,510","191,992","220,345"
