0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Resort Region,"No. of  
Units **","Rooms 
**",Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,"Annual 
O/R"
Colombo City,34,"4,319",70.80,76.28,77.89,71.91,73.89,69.89,78.64,84.87,69.90,74.29,77.51,86.11,76.75
,,,,,,,,,,,,,,,
Greater Colombo,62,"3,184",81.88,77.62,78.98,70.81,72.09,67.335,78.97,76.77,69.80,72.86,74.80,80.34,75.18
1. North of Colombo,52,"2,711",83.89,78.85,79.35,74.88,70.22,69.35,78.35,77.69,70.20,71.83,74.21,81.21,75.84
11. South of Colombo,10,473,79.87,76.39,78.61,66.73,73.84,65.32,79.58,75.85,69.30,73.89,75.38,79.47,74.52
,,,,,,,,,,,,,,,
South Coast,142,"8,437",81.57,79.21,76.91,72.54,61.82,67.99,78.24,72.85,73.65,67.06,76.93,82.08,74.24
1. Up to Galle,81,"5,739",83.27,81.21,77.27,73.13,65.14,68.41,77.32,73.13,73.30,70.54,77.63,81.04,75.12
11. Beyond Galle,61,"2,698",79.87,77.21,76.54,71.94,58.49,67.56,79.15,72.57,74,63.57,76.23,83.12,73.35
,,,,,,,,,,,,,,,
East Coast,25,"1,121",77.80,81.52,80.87,73.14,61.94,71.64,78.94,79.81,74.70,71.89,69.13,77.65,74.92
,,,,,,,,,,,,,,,
High Country,32,"1,178",76.74,79.81,81.24,76.82,67.63,69.34,80.31,75.87,70.60,73.11,68.32,83.17,75.24
,,,,,,,,,,,,,,,
Ancient Cities,82,"3,990",81.51,81.00,79.49,75.00,63.96,69.87,76.39,79.27,71.34,70.29,75.56,81.85,75.46
1. Kandy Area,31,"1,651",83.84,82.78,82.78,72.25,67.81,73.54,75.48,84.79,73.60,69.87,78.25,84.67,77.47
11.Anuradhapura Area,16,400,80.78,82.56,81.44,76.53,66.74,72.58,74.31,81.42,73.20,67.29,74.26,84.35,76.28
111.Polonnaruwa/ Giritale,11,530,81.56,83.32,79.23,75.65,59.96,64.62,76.03,73.15,70.20,69.74,75.39,81.15,74.17
1V. Habarana/Sig./Damb.,24,"1,403",79.87,75.32,74.51,75.58,61.34,68.73,79.75,77.73,68.40,74.25,74.35,77.24,73.92
,,,,,,,,,,,,,,,
Northern Region,5,107,73.47,73.02,69.78,66.38,63.14,65.48,71.32,70.88,67.50,66.56,73.25,74.16,69.58
,,,,,,,,,,,,,,,
All Area*,382,"22,336",80.06,79.02,78.29,72.91,65.84,68.87,77.43,77.31,71.20,70.57,74.49,81.11,74.76
