0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
AFRICA,"12,149","2,170","4,255","2,113",429,66,661,103,642,19,140,5,235,292,-
South Africa,"5,208",760,"2,078","1,118",123,40,284,74,299,6,59,2,72,64,-
Others,"6,941","1,410","2,177",995,306,26,377,29,343,13,81,3,163,228,-
MIDDLE EAST,"107,635","35,810","19,700","12,300",607,369,"2,537",162,"4,940",97,355,48,"9,464","5,156",-
Soudi Arabia,"38,836","21,504","2,379","3,173",90,20,391,6,"1,085",25,94,2,"1,543",807,-
UAE,"8,475",380,"5,695",74,20,10,926,4,542,-,3,4,98,645,-
Israel,"10,391","1,081","4,359","2,095",335,281,33,134,10,24,10,31,29,20,-
Kuwait,"5,726","1,631",268,196,18,7,54,3,78,-,10,5,75,16,-
Oman,"13,268","5,838",329,434,38,14,179,10,266,-,11,-,"5,884",156,-
Others,"30,939","5,376","6,670","6,328",106,37,954,5,"2,959",48,227,6,"1,835","3,512",-
EAST ASIA,"425,181","121,963","9,990","2,189","2,808",906,783,"50,808","1,960","80,866","30,492","44,230",783,"1,047",-
China (P.R.),"271,597","65,821","2,405",731,"1,924",374,279,"41,917",515,"77,001","19,301","43,739",237,822,-
Indonesia,"16,047","2,886",288,58,23,5,26,17,38,15,625,-,30,8,-
Japan,"43,110","20,449",825,214,225,182,83,"3,486",49,2308,"1,230",220,21,14,-
Malaysia,"24,727","6,771",644,162,75,57,32,118,59,34,"6,992",11,47,9,-
Philippines,"12,747","6,392","1,065",668,71,25,233,534,"1,135",41,426,4,370,170,-
Singapore,"19,033","7,581","4,040",130,132,33,27,144,17,16,317,12,13,1,-
"Th
  ailand","9,462","5,808",85,48,33,6,15,8,7,10,113,1,10,3,-
Korea (South,"14,520","1,992",332,107,256,182,74,"1,561",113,"1,035",405,213,43,13,-
Others,"13,938","4,263",306,71,69,42,14,"3,023",27,406,"1,083",30,12,7,-
SOUTH ASIA,"513,536","258,112","37,248","3,192","83,349","68,807","1,211",551,"3,747","1,859","1,079",58,"1,178","1,741","35,893"
India,"356,729","146,478","6,077","1,748","82,141","68,673",782,436,"2,732",129,503,44,825,"1,321","35,483"
Bangladesh,"17,098","14,998",189,95,641,2,18,10,47,9,81,1,27,37,-
Pakistan,"29,965","25,009","1,942",922,40,3,240,39,615,17,77,7,218,305,-
Maldives,"95,167","60,683","28,419",265,23,27,105,60,54,"1,702",387,4,20,31,-
Others,"14,577","10,944",621,162,504,84,66,6,299,2,31,2,88,47,410
AUSTRALASIA,"83,849","34,297","11,046","1,399",985,438,"1,291",747,632,296,"1,560",119,264,97,-
Australia,"74,496","32,069","9,707","1,163",862,349,"1,120",569,487,158,924,80,209,72,-
New Zealand,"9,045","2,089",1317,229,123,85,169,176,145,137,629,39,53,25,-
Others,308,139,22,7,-,4,2,2,-,1,7,-,2,-,-
TOTAL,"2,050,832","655,407","338,437","160,197","108,748","75,709","63,597","60,794","55,417","36,460","46,514","45,178","42,288","41,092","35,898"
