0,1,2,3,4,5,6,7
"Market 
Region",year,,,,Change (%),,
,2013,2014,2015,2016,14/13,15/14,16/15
America -North,"65,616","72,653","84,943","98,376",10.7,16.9,15.8
Asia -North East,"102,851","185,907","273,844","329,207",80.8,47.3,20.2
Asia -South east,"80,246","94,604","89,013","95,954",17.9,(5.9),7.8
Asia - South,"326,556","370,299","459,415","513,536",13.4,24.1,11.8
Australasia,"60,836","65,252","71,672","83,851",7.3,9.8,17.0
Europe -West,"421,037","479,007","552,442","643,333",13.8,15.3,16.5
Europe - East,"125,695","154,153","148,458","161,171",22.6,(3.7),8.6
Middle East,"80,509","88,991","101,066","107,635",10.5,13.6,6.5
Others,"11,247","16,287","17,527","17,769",44.8,7.6,1.4
Total,"1,274,593","1,527,153","1,798,380","2,050,832",19.8,17.8,14.0
