0,1,2,3,4,5,6,7
Charter Carrier,2010,2011,2012,2013,2014,2015,2016
Aerosvit Airline,-,-,-,-,101,-,-
Indian Airforce,-,-,-,-,49,-,-
Orient Flights,-,-,-,-,86,-,48
Quantas AL,-,-,-,-,244,-,-
Spirit of Africa AL,-,-,-,-,353,-,-
Mahan Air,-,-,-,-,-,-,648
Lot Polish Airlines,-,-,-,"5,873","2,513","2,144",24
Enter Air,-,-,-,"2,927",-,-,-
Fin Air,"3,423",-,-,-,-,-,2
Transaero Russia,-,-,-,-,-,800,-
Azur Air,-,-,-,-,-,281,"1,919"
Wind Rose Airlines,-,-,-,"4,494",-,-,-
Special Aircraft,-,-,-,-,-,-,877
Orenburg Airlines,-,-,-,"1,581",-,-,-
TNT,-,-,"1,183",-,-,-,-
Condor,-,-,"3,827",-,6,-,-
Transaero Airlines,-,-,-,636,-,-,-
PB Air,-,"2,645",-,-,-,-,-
Meridiana,-,337,"2,770",-,2,-,-
Travel Service,-,-,-,517,-,-,507
Travels Service Poloska,-,-,-,733,-,-,-
Private Aircraft,-,-,-,-,-,-,808
Smart Wings(QS),-,1076,-,-,-,-,-
Edelweiss Air,"2,908",371,612,-,-,-,-
British Airways,-,-,-,-,-,-,104
Ukraine Airline,-,-,-,-,-,5,"4,152"
TOM 938,-,-,976,-,-,-,-
EL AL Israel Airlines,-,-,-,-,-,-,32
First Choice,"5,713",727,-,-,-,-,-
Arkeyfl y,-,-,"2,140",-,-,-,-
VIM Airlines,-,-,-,626,-,-,-
Island Aviation,-,-,-,-,-,502,-
Albanian Airlines,-,-,-,-,-,-,40
"Th
  omson Airways",-,-,-,-,-,-,"1,931"
Royal Flights Airlines,-,-,-,-,-,-,806
NVR,"1,952","8,757","3,918",-,-,-,-
Siriwijay Airlines,-,-,-,-,-,-,395
Neo Spa,-,-,-,-,-,-,671
Ethiuopian Airlines,-,-,-,-,-,-,62
Rossia Airline,-,798,-,-,-,-,-
Others,679,411,"3,255",-,2611,336,118
Total,"14,675","15,122","18,681","17,387","5,965","4,068","13,144"
