0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Country of Residence,TOTAL,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,"Season-ality
Ratio"
NORTH AMERICA,"98,376","9,160","8,372","9,165","6,370","6,857","8,028","10,249","9,105","5,803","5,777","6,670","12,820",1.6
Canada,"44,122","4,016","3,521","3,900","2,962","3,319","4,111","5,330","5,044","2,527","2,345","2,447","4,600",1.4
USA,"54,254","5,144","4,851","5,265","3,408","3,538","3,917","4,919","4,061","3,276","3,432","4,223","8,220",1.8
LATIN AMERICA & THE,"5,625",492,527,578,445,392,318,486,332,440,471,445,699,1.5
WESTERN EUROPE,"643,333","63,690","73,533","69,972","39,243","26,826","29,599","77,862","64,942","39,956","42,790","46,565","68,355",1.5
Austria,"16,995","2,463","2,917","1,949",774,596,395,"1,456","1,232",649,"1,063","1,422","2,079",2.1
Belgium,"14,387","1,285","1,552","1,639",675,377,586,"2,705","1,511","1,180",688,839,"1,350",2.3
Denmark,"18,097","2,892","3,029","2,216",679,490,"1,096","2,632",783,502,921,896,"1,961",2.0
France,"96,440","9,878","14,602","11,175","7,518","3,281","3,659","10,949","10,805","5,008","5,849","5,845","7,871",1.8
Netherlands,"41,373","3,194","3,555","2,442","2,496","1,458","1,711","9,755","4,726","2,915","2,272","2,941","3,908",2.8
Italy,"29,791","4,131","3,607","2,683","1,455","1,010","1,390","2,418","4,517","1,392","1,274","1,803","4,111",1.8
Norway,"12,790","1,164","1,336","1,318",496,374,"1,825","2,260",644,504,808,877,"1,184",2.1
Spain,"19,425",984,"1,054","1,587",856,719,735,"2,371","3,888","1,846","1,758","1,691","1,936",2.4
Sweden,"21,589","3,715","3,277","2,339",771,416,859,937,498,466,"1,305","1,943","5,063",2.8
Switzerland,"26,282","2,483","2,580","2,122","1,870",966,"1,208","5,540","1,672","1,432","2,103","1,695","2,611",2.5
UK,"188,159","16,253","19,194","21,430","12,006","8,412","9,406","23,948","20,475","12,288","10,964","13,337","20,446",1.5
Germany,"133,275","12,760","14,426","16,264","8,065","7,591","5,461","10,971","12,224","10,101","12,246","11,172","11,994",1.5
Others,"24,730","2,488","2,404","2,808","1,582","1,136","1,268","1,920","1,967","1,673","1,539","2,104","3,841",1.9
EASTERN EUROPE,"161,171","22,733","21,745","16,899","11,285","5,313","4,733","7,472","7,403","7,728","12,109","21,249","22,502",1.7
Russia,"58,176","8,358","6,958","5,916","4,081","1,756","1,608","2,269","2,511","2,353","4,726","8,461","9,179",1.9
Ukraine,"31,302","4,662","4,261","2,979","2,338","1,213",755,"1,014","1,164","1,413","2,782","4,323","4,398",1.8
Czech Republic,"17,858","2,576","3,330","2,443","1,222",357,530,"1,124",885,941,791,"1,755","1,904",2.2
Poland,"14,432","2,067","2,167","1,289",943,435,466,810,817,842,745,"2,045","1,806",1.8
Others,"39,403","5,070","5,029","4,272","2,701","1,552","1,374","2,255","2,026","2,179","3,065","4,665","5,215",1.6
AFRICA,"12,144","1,038",839,"1,148",818,869,568,"1,078",877,"1,068",756,910,"2,175",2.1
South Africa,"5,208",322,327,562,273,315,344,424,300,454,308,292,"1,287",3.0
Others,"6,936",716,512,586,545,554,224,654,577,614,448,618,888,1.5
MIDDLE EAST,"107,635","10,109","4,896","10,094","5,803","6,005","2,210","18,591","18,746","11,560","5,626","7,274","6,721",2.1
Saudi Arabia,"38,836","3,813","1,075","3,636","1,372","2,279",400,"7,514","9,338","4,057","1,290","3,052","1,010",2.9
UAE,"8,475",562,287,641,363,507,132,"2,021","1,297","1,130",286,424,825,2.9
Isreal,"10,391",768,921,459,972,302,408,"1,007","1,328","1,055","1,585",518,"1,068",1.8
Kuwait,"5,726",961,368,410,409,394,207,761,779,630,211,219,377,2.0
