0,1,2,3,4,5,6,7,8,9
Country of Residence,Total,Sex,,Age Group,,,,,
,,Male,Female,(3-19),(20-29),(30-39),(40-49),(50-59),(60& Over)
NORTH AMERICA,"98,376","47,261","51,115","7,906","11,379","18,668","16,554","18,108","25,761"
Canada,"44,122","20,935","23,187","5,763","4,167","7,277","6,235","8,402","12,278"
USA,"54,254","26,326","27,928","2,143","7,212","11,391","10,319","9,706","13,483"
LATIN AMERICA & THE CARIBBEAN,"5,625","2,671","2,954",405,"1,050","1,852",955,678,685
WESTERN EUROPE,"643,333","311,868","331,465","48,669","91,742","133,266","95,028","128,800","145,828"
Austria,"16,995","7,668","9,327",818,987,"4,017","2,299","4,588","4,286"
Belgium,"14,387","6,816","7,571","1,181","2,091","3,470","1,931","2,780","2,934"
Denmark,"18,097","7,745","10,352","3,434","3,685","2,025","2,927","3,223","2,803"
Finland,"5,057",2771,"2,286",537,536,"1,344",847,754,"1,039"
France,"96,440","49,589","46,851","11,851","13,337","21,766","10,306","18,833","20,347"
Netherlands,"41,373","20,929","20,444","3,271","5,506","6,529","6,933","9,018","10,116"
Italy,"29,791","12,512","17,279","1,075","3,436","7,039","5,201","5,945","7,095"
Norway,"12,790","5,756","7,034","1,377","2,295","2,112","1,967","2,437","2,602"
Spain,"19,425","9,711","9,714","1,953","2,805","5,834","3,685","2,673","2,475"
Sweden,"21,589","10,527","11,062","2,486","3,914","3,900","2,633","3,657","4,999"
Switzerland,"26,282","13,090","13,192","2,630","4,130","4,456","4,751","5,348","4,967"
UK,"188,159","89,122","99,037","14,961","24,223","36,826","29,345","33,570","49,234"
Germany,"133,275","66,441","66,834","1,904","22,092","28,333","18,574","32,733","29,639"
Others,"19,673",9191,"10,482","1,191","2,705","5,615","3,629","3,241","3,292"
EASTERN EUROPE,"161,171","79,419","81,752","11,782","31,571","49,963","31,661","22,837","13,357"
Russia,"58,176","30,074","28,102","4,396","12,814","21,641","9,998","6,979","2,348"
Ukraine,"31,302","15,531","15,771","2,113","7,855","8,457","6,862","4,294","1,721"
Others,"71,693","33,814","37,879","5,273","10,902","19,865","14,801","11,564","9,288"
AFRICA,"12,144","5,175","6,969",966,"2,660","2,373","2,113","3,075",957
South Africa,"5,208","2,318","2,890",355,"1,291",574,680,"2,184",124
Others,"6,936",2857,4079,611,"1,369","1,799","1,433",891,833
MIDDLE EAST,"107,635","42,749","64,886","16,624","22,949","24,155","18,197","15,720","9,990"
Isreal,"10,391","3,509","6,882",827,"2,246","1,349","3,223","1,143","1,603"
Saudi Arabia,"38,836","17,781","21,055","7,225","8,691","8,857","5,656","4,928","3,479"
Kuwait,"5,726","1,828","3,898",785,702,784,668,"2,206",581
Oman,"13,268","4,815","8,453","2,358","4,051","3,022","1,690","1,177",970
Others,"39,414","14,816","24,598","5,429","7,259","10,143","6,960","6,266","3,357"
EAST ASIA,"425,161","224,466","200,695","22,571","67,013","99,204","93,204","71,643","71,526"
China,"271,577","157,619","113,958","13,920","49,769","67,969","55,469","44,948","39,502"
Indonesia,"16,047","5,975","10,072",331,"2,681","3,336","7,861","1,039",799
Japan,"43,110","19,600","23,510","1,993","4,197","8,839","9,189","6,009","12,883"
Malaysia,"24,727","10,999","13,728","1,657","2,816","4,469","5,452","4,579","5,754"
Philippines,"12,747","5,209","7,538","1,220","2,235","4,165","2,326","1,592","1,209"
Singapore,"19,033","8,705","10,328","1,628","1,796","2,922","5,093","3,925","3,669"
"Th
  ailand","9,462","5,060","4,402",300,691,"2,028","1,922","2,717","1,804"
South Korea,"14,520","5,084","9,436","1,061","1,308","2,378","3,087","3,352","3,334"
Others,"13,938","6,215","7,723",461,"1,520","3,098","2,805","3,482","2,572"
SOUTH ASIA,"513,536","180,920","332,616","45,834","62,892","116,432","160,044","64,189","64,145"
India,"356,729","119,314","237,415","27,052","36,392","72,744","132,970","44,135","43,436"
Maldives,"95,167","38,433","56,734","13,808","16,481","21,796","16,638","10,558","15,886"
Pakistan,"29,965","9,293","20,672","3,701","4,922","7,315","6,134","4,370","3,523"
Others,"31,675","13,880","17,795","1,273","5,097","14,577","4,302","5,126","1,300"
AUSTRALIA,"83,851","34,623","49,228","7,874","12,166","16,275","14,207","15,331","17,998"
Australia,"74,496","30,454","44,042","6,532","10,894","14,656","12,622","13,587","16,205"
New Zealand,"9,045","4,062","4,983","1,322","1,254","1,562","1,498","1,675","1,734"
Others,310,107,203,20,18,57,87,69,59
TOTAL,"2,050,832","929,152","1,121,680","162,631","303,422","462,188","431,963","340,381","350,247"
