0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
COUNTRY,"SINGAPORE 
AL","MALAYSIAN
AL","THAI AIR 
WAYS","MIHIN 
LANKA 
AIR LINES","KOREAN 
AIR LINES","TURKISH 
AIR LINE",SAUDIA,"MALNDO 
AIR","KUWAIT 
AIR WAYS","AUSTRIAN 
AIR","ROYAL
DUTCH 
AIR
LINES","ROTANA
JET","HIMALAYA
AIR LINE","CHINA
AIR 
LINES",CHARTER,SHIPS
NORTH AMERICA,"2,188",620,"1,429",35,504,757,306,430,719,41,185,75,27,-,271,"1,071"
Canada,435,257,378,1,127,122,119,214,367,18,100,24,1,-,10,"1,025"
USA,"1,753",363,"1,051",34,377,635,187,216,352,23,85,51,26,-,261,46
LATIN AMERICA & THE CARIBBEAN,80,92,62,53,20,77,14,52,11,6,5,4,-,-,29,853
WESTERN EUROPE,"3,456","1,931","2,390","22,149",920,"10,711","3,548","1,747","5,235","2,154","1,808",288,34,-,"4,166","7,598"
Austria,57,25,79,2,17,371,9,52,28,"1,362",10,-,2,-,15,-
Belgium,58,38,63,4,11,449,71,20,19,10,65,4,-,-,7,64
Denmark,70,86,80,-,191,"1,165",15,66,15,17,22,2,2,-,5,15
France,525,240,338,3,104,"2,682","2,159",213,"1,773",26,151,25,-,-,144,451
Netherlands,152,102,100,15,43,994,25,146,47,17,"1,057",6,1,-,42,"1,684"
Italy,108,50,118,-,60,394,168,87,585,30,21,12,1,-,967,18
Norway,38,31,77,-,26,281,2,31,11,5,17,-,1,-,2,1
Spain,36,42,49,-,41,435,177,59,33,5,9,6,2,-,12,5
Sweden,94,65,119,-,65,"1,124",8,132,21,60,64,4,2,-,574,1
Switzerland,178,40,128,-,52,101,12,66,30,154,26,2,1,-,34,5
UK,"1,638",961,773,"22,038",117,"1,058",649,507,"2,097",32,128,98,16,-,"1,939","4,378"
Germany,380,171,331,-,143,633,183,181,495,401,217,23,6,-,83,26
Others,122,80,135,87,50,"1,024",70,187,81,35,21,106,-,-,342,950
EASTERN EUROPE,268,184,200,275,423,"4,287",177,303,251,290,39,30,4,-,"6,920","3,640"
Russia,50,77,62,-,207,188,27,121,46,5,5,6,3,-,"2,690","2,239"
Ukraine,29,25,35,-,37,155,16,48,39,16,7,3,-,-,"3,198",139
Czesh Republic,28,18,12,241,69,"1,006",11,28,15,93,2,2,-,-,49,350
Poland,100,18,14,-,36,166,26,38,62,28,2,10,-,-,614,61
Others,61,46,77,34,74,"2,772",97,68,89,148,23,9,1,-,369,851
AFRICA,99,60,57,55,26,84,291,60,53,1,1,23,-,-,33,176
South Africa,71,34,27,-,10,4,26,26,12,-,-,11,-,-,4,4
Others,28,26,30,55,16,80,265,34,41,1,1,12,-,-,29,172
MIDDLE EAST,123,147,368,158,117,"2,075","8,033",119,"4,148",13,7,80,5,-,544,153
Saudi Arabia,32,33,42,-,33,5,"7,354",21,193,-,-,2,-,-,2,-
UAE,5,7,23,-,3,1,-,2,4,-,-,27,-,-,1,1
Israel,38,5,165,-,16,"1,568",14,-,2,13,2,1,1,-,124,-
Kuwait,5,-,28,-,2,2,6,-,"3,321",-,-,-,-,-,-,1
Oman,-,2,24,-,18,6,3,6,50,-,-,-,-,-,-,-
Others,43,100,86,158,45,493,656,90,578,-,5,50,4,-,417,151
EAST ASIA,"15,869","19,639","14,194",4,"14,692",148,978,"7,934",232,9,5,38,7,-,648,"1,959"
China (P.R.),"3,105","4,544","4,022",4,"1,489",107,57,"1,269",114,-,1,10,7,-,167,"1,635"
Indonesia,565,"10,077",56,-,13,4,810,195,6,-,-,2,-,-,283,17
Japan,"2,473",959,"3,590",-,"6,592",18,18,138,6,2,1,2,-,-,2,3
Malaysia,731,"3,027",103,-,30,1,39,"5,741",7,-,1,4,-,-,22,10
Philippines,752,206,258,-,14,1,37,55,49,-,-,9,-,-,-,232
Singapore,"6,133",121,65,-,10,2,2,211,3,-,-,2,-,-,5,16
"Th
  ailand",42,26,"3,205",-,8,1,1,30,-,-,1,-,-,-,1,-
Korea (South),495,248,797,-,"6,507",7,13,72,34,-,1,7,-,-,7,6
Others,"1,573",431,"2,098",-,29,7,1,223,13,7,-,2,-,-,161,40
SOUTH ASIA,"1,316",669,893,30,"2,797",81,278,734,673,2,7,55,468,37,451,"7,020"
India,896,318,290,-,93,28,115,415,465,2,5,38,16,-,92,"6,584"
Bangladesh,184,42,52,30,7,23,32,74,98,-,-,10,6,37,14,316
Pakistan,27,54,98,-,8,5,102,91,92,-,2,5,2,-,29,16
Maldives,166,203,134,-,"2,671",11,27,133,8,-,-,2,11,-,10,11
Others,43,52,319,-,18,14,2,21,10,-,-,-,433,-,306,93
AUSTRALASIA,"11,288","8,510","4,812","1,033",107,656,104,"2,170",85,3,9,15,7,-,82,"1,797"
Australia,"8,934","7,416","4,597","1,033",80,606,91,2055,75,2,2,13,5,-,52,"1,766"
New Zealand,"2,340","1,086",209,-,26,7,6,115,9,1,-,2,2,-,26,-
Others,14,8,6,-,1,43,7,-,1,-,7,-,-,-,4,31
TOTAL,"34,687","31,852","24,405","23,792","19,606","18,876","13,729","13,549","11,407","2,519","2,066",608,552,37,"13,144","24,267"
