0,1,2,3,4,5
,,,,Arrivals,
,,Tourist Arrivals,,,
,,,,,January
,,,,January,
,,By,,,(20/21)
,By Air,,Total,2021,
,,Sea,,,
ASIA &,,,,,-
,,,,80,
,"19,531",0,"19,531",,
PACIFIC,,,,,
North East,,,,,-
,,,,28,
,449,0,,449,
Asia,,,,,
,,,,,-
China,226,0,226,27,
,,,,1,-
Japan,92,0,92,,
,,,,0,-
South Korea,104,0,104,,
,,,,0,-
Taiwan,13,0,13,,
,,,,0,-
Others,14,0,14,,
South East,,,,,-
,700,0,700,12,
Asia,,,,,
,,,,0,-
Cambodia,21,0,21,,
,,,,3,-
Indonesia,75,0,75,,
,,,,1,-
Malaysia,159,0,159,,
,,,,1,-
Myanmar,16,0,16,,
,,,,6,-
Philippines,109,0,109,,
,,,,1,-
Singapore,229,0,229,,
,,,,0,-
Thailand,72,0,72,,
,,,,0,-
Vietnam,17,0,17,,
,,,,0,-
Others,2,0,2,,
Oceania,"2,928",0,"2,928",6,-
,,,,3,-
Australia,"2,814",0,"2,814",,
,,,,3,-
New Zealand,112,0,112,,
,,,,0,-
Others,2,0,2,,
South Asia,"15,454",0,"15,454",34,-
,,,,0,-
Afghanistan,0,0,0,,
,,,,0,-
Bangladesh,302,0,302,,
,,,,0,-
Bhutan,30,0,30,,
,,,,17,-
India,"11,751",0,"11,751",,
,,,,0,-
Iran,260,0,260,,
,,,,17,-
Maldives,"2,401",0,"2,401",,
,,,,0,-
Nepal,100,0,100,,
Pakistan,610,0,610,0,-
EUROPE,"56,605",0,"56,605","1,575",-
