0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Country,Sri Lankan Airlinesw,Emirates,Azur Air,Qatar  Airways,Red Wings,IndiGo,Aeroflot,Air_Arabia,Fly Dubai,Air India,Vistara Airline,Air Asia,Singapore Airline,Oman Air,Etihad Airways,China Eastern Airlines,Other,Total
Russian Federation,4.21,5.75,30.13,1.69,24.09,1.08,15.09,7.23,4.26,0.13,0.07,1.40,0.02,0.82,0.65,0.01,3.37,100.00
India,59.35,2.03,0.00,0.30,0.00,20.31,0.00,0.29,0.38,7.83,7.67,0.08,0.26,0.09,0.06,0.00,1.34,100.00
United Kingdom,46.96,23.92,0.00,12.80,0.00,0.98,0.00,0.60,1.49,0.58,0.58,1.50,0.67,1.01,2.31,0.00,6.60,100.00
Germany,29.13,24.70,0.16,28.91,0.01,0.99,0.07,0.16,1.47,0.42,0.23,1.64,0.32,4.98,2.24,0.05,4.51,100.00
France,33.67,35.22,0.05,10.40,0.00,0.71,0.02,0.16,1.81,0.60,0.24,1.49,0.29,3.21,2.89,0.02,9.21,100.00
United States,16.86,6.82,0.04,14.21,0.04,1.54,0.00,0.54,1.03,1.35,0.95,1.32,2.49,0.16,2.03,0.04,50.59,100.00
Australia,63.62,2.84,0.00,0.61,0.00,0.76,0.00,0.11,0.21,0.70,0.08,2.07,19.77,0.17,0.32,0.00,8.74,100.00
Canada,45.03,13.99,0.00,17.78,0.00,1.30,0.05,0.57,0.93,1.55,0.54,1.33,0.81,0.30,1.45,0.15,14.22,100.00
Iran,2.54,11.64,0.00,13.06,0.00,0.08,0.03,38.82,27.96,0.03,0.00,0.05,0.00,0.08,0.05,0.00,5.67,100.00
China,39.66,2.39,0.03,0.68,0.00,0.55,0.00,0.16,0.39,0.10,0.06,18.28,4.10,0.13,0.29,30.68,2.49,100.00
