0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
District,No of Units,No of Rooms,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,"Annual 
Occupancy 
Rate"
Colombo,53,"6,128",59.7,45.1,24.1,2.2,2.5,7.5,10.4,9.0,8.1,8.3,4.7,9.2,15.9
Galle,88,"3,899",87.0,65.9,35.2,3.3,3.6,10.9,15.1,13.1,11.8,12.1,6.9,13.4,23.2
Gampaha,38,"1,836",61.2,46.3,24.7,2.3,2.5,7.7,10.6,9.2,8.3,8.5,4.8,9.4,16.3
Kandy,45,"2,040",82.5,62.5,33.4,3.1,3.4,10.3,14.3,12.4,11.2,11.5,6.5,12.7,22.0
Kalutara,37,"2,662",58.2,44.0,23.5,2.2,2.4,7.3,10.1,8.7,7.9,8.1,4.6,8.9,15.5
Matale,32,"1,532",62.3,47.1,27.2,2.3,2.6,7.8,10.8,9.4,8.5,8.7,4.9,9.6,16.6
Hambantota,28,"1,212",63.4,48.0,25.6,2.4,2.6,7.9,11.0,9.5,8.6,8.8,5.0,9.8,16.9
Nuwara Eliya,29,"1,117",61.8,43.7,23.4,2.2,2.4,7.2,10.0,8.7,7.9,8.1,4.5,8.9,15.4
Matara,17,615,63.0,47.7,25.5,2.8,2.6,7.9,10.9,9.5,8.6,8.8,5.0,9.7,16.8
Badulla,11,286,64.5,54.4,26.1,2.4,2.7,8.1,11.2,9.7,8.8,9.0,5.1,9.9,17.2
Anuradhapura,16,695,63.4,51.4,25.6,2.9,2.6,7.9,11.0,9.5,8.6,8.8,5.0,9.8,16.9
Puttalam,18,882,64.2,48.5,26.9,2.4,2.6,8.0,11.1,9.6,8.7,9.0,5.0,9.9,17.1
Batticaloa,14,648,69.9,51.4,27.5,2.6,2.8,8.5,11.8,10.2,9.2,9.5,5.3,10.4,18.1
Ampara,6,150,31.9,24.1,12.9,1.2,1.3,4.0,5.5,4.8,4.3,4.4,2.5,4.9,8.5
Polonnaruwa,11,434,26.6,20.2,10.8,1.0,1.1,3.3,4.6,4.0,3.6,3.7,2.1,4.1,7.1
Trincomalee,11,410,57.9,40.0,21.4,2.0,2.2,6.6,9.2,7.9,7.2,7.4,4.2,8.1,14.1
Ratnapura,7,241,33.4,25.3,13.5,1.3,1.4,4.2,5.8,5.0,4.5,4.7,2.6,5.1,8.9
Moneragala,8,274,36.8,27.8,14.9,1.4,1.5,4.6,6.4,5.5,5.0,5.1,2.9,5.7,9.8
Jaffna,6,204,54.4,41.2,22.0,2.0,2.2,6.8,9.4,8.2,7.4,7.6,4.3,8.4,14.5
Kurunegala,4,67,58.9,44.6,23.8,2.2,2.4,7.4,10.2,8.9,8.0,8.2,4.6,9.1,15.7
Kegalle,3,30,34.1,25.8,13.8,1.3,1.4,4.3,5.9,5.1,4.6,4.8,2.7,5.3,9.1
Vavuniya,1,20,39.8,30.1,16.1,1.5,1.6,5.0,6.9,6.0,5.4,5.5,3.1,6.1,10.6
Kilinochchi,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mullaitivu,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mannar,1,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,484,"25,407",55.9,42.3,22.6,2.1,2.3,7,9.7,8.4,7.6,7.8,4.4,8.6,14.9
