0,1,2,3,4,5,6,7
"Workers' 
Remittances","1,200,766",25.4,1,"Workers' 
Remittances","1,317,007",34.9,1
"Textiles and 
Garments","1,000,713",21.2,2,"Textiles and 
Garments","817,593",21.7,2
Tourism,"646,362",13.7,3,Tea,"230,170",6.1,3
Transport,"418,205",8.9,4,Transport,"216,566",5.7,4
Tea,"240,637",5.1,5,"Telecommunication, 
Computer & 
Information Services","184,629",4.9,5
"Telecommunication, 
Computer & 
Information Services","188,313",4,6,Rubber Products,"145,501",3.9,6
Rubber Products,"154,854",3.3,7,Tourism,"124,189",3.3,7
Petroleum Products,"93,194",2,8,"Food beverages & 
tobacco","85,963",2.3,8
"Food beverages & 
tobacco","79,989",1.7,9,Petroleum Products,"68,849",1.8,9
"Machinery and 
Mechanical 
Appliances","71,495",1.5,10,Coconut,"63,974",1.7,10
Others,"625,132",13.2,,Others,"520,244",13.8,
Total,"4,719,660",100,,Total,"3,774,685",100,
