0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
No,Country,January,"Februar
y",March,April,May,June,July,August,September,October,November,December,"Total 
(Jan - 
Dec)"
70,GUYANA,0,5,4,0,0,0,0,0,0,0,0,0,9
71,HAITI,2,1,0,0,0,0,0,0,0,0,0,0,3
72,HONDURAS,7,6,1,0,0,0,0,0,0,0,0,0,14
73,HONG KONG,8,0,2,0,0,0,0,0,0,0,0,0,10
74,HUNGARY,758,655,175,0,0,0,0,0,0,0,0,0,"1,588"
75,ICELAND,48,38,28,0,0,0,0,0,0,0,0,0,114
76,INDIA,"41,448","35,309","12,600",0,0,0,0,0,0,0,0,0,"89,357"
77,INDONESIA,401,515,198,0,0,0,0,0,0,0,0,0,"1,114"
78,IRAN,330,293,25,0,0,0,0,0,0,0,0,0,648
79,IRAQ,71,52,15,0,0,0,0,0,0,0,0,0,138
80,IRELAND,948,"1,084",262,0,0,0,0,0,0,0,0,0,"2,294"
81,ISRAEL,"1,688","1,539",329,0,0,0,0,0,0,0,0,0,"3,556"
82,ITALY,"4,454","3,743",406,0,0,0,0,0,0,0,0,0,"8,603"
83,JAMAICA,7,18,0,0,0,0,0,0,0,0,0,0,25
84,JAPAN,"2,917","3,015",712,0,0,0,0,0,0,0,0,0,"6,644"
85,JORDAN,361,206,60,0,0,0,0,0,0,0,0,0,627
86,KAZAKHSTAN,"1,182",673,478,0,0,0,0,0,0,0,0,0,"2,333"
87,KENYA,45,50,15,0,0,0,0,0,0,0,0,0,110
88,KOSOVAR,11,5,0,0,0,0,0,0,0,0,0,0,16
89,KUWAIT,465,326,34,0,0,0,0,0,0,0,0,0,825
90,KYRGYZSTAN,122,75,24,0,0,0,0,0,0,0,0,0,221
91,"LAO PEOPLES 
DEM. REP.",8,8,3,0,0,0,0,0,0,0,0,0,19
92,LATVIA,235,208,155,0,0,0,0,0,0,0,0,0,598
93,LEBANON,212,223,48,0,0,0,0,0,0,0,0,0,483
