0,1,2,3,4,5
2023 & 2024 (up to June),,,,,
,2024 (Up to June),,,2023,
Category,,,,,
,Number of,Number of,Number of,,Number of
,establishments,rooms,establishments,,rooms
Boutique Hotel,38,835,41,,865
Boutique Villa,49,345,51,,356
Bungalow,"1,052","4,390",984,,"4,078"
Classified Tourist,167,"16,808",168,,"16,686"
Hotel,,,,,
1 Star,41,"1,852",41,,"1,852"
2 Star,40,"2,431",41,,"2,499"
3 Star,25,"2,408",26,,"2,462"
4 Star,31,"3,834",30,,"3,590"
5 Star,30,"6,283",30,,"6,283"
Guest House,"1,647","18,445","1,679",,"18,622"
Eco lodge,1,20,1,,20
Heritage Bungalow,4,19,4,,19
Heritage Home,2,2,2,,2
Heritage Hotel,2,312,2,,312
Home Stay Unit,"1,112","3,308","1,080",,"3,231"
Hostels,14,158,12,,143
Rented Apartment,82,322,86,,328
Rented Home,15,41,14,,41
Themed,,,,,
Accommodation &,,11,,,11
Value-added Activities,,,,,
Tourist Hotel,204,"8,362",221,,"8,515"
Total,"4,390","53,378","4,346",,"1  153,229"
