0,1,2,3,4,5,6,7,8
Country,Pleasure/ Vacation,Visiting Friends and Relatives,Mice,Business,Other or not responded (or VFS,related,online Visa),Total
India,"71,464","9,006","7,926","8,622","87,450",,,"184,468"
Russian Federation,"69,760",786,"14,481",41,"29,036",,,"114,104"
United Kingdom,"51,812","12,692","1,453",994,"22,401",,,"89,352"
Germany,"46,618","3,779","2,494",385,"16,794",,,"70,070"
China,"43,141",907,"1,576","1,111","17,081",,,"63,816"
France,"33,910","2,928","3,687",246,"8,567",,,"49,338"
Australia,"17,048","9,526",460,392,"13,320",,,"40,746"
United States,"17,834","3,995","1,052",624,"9,212",,,"32,717"
Poland,"16,484",168,"2,502",55,"4,687",,,"23,896"
Maldives,51,48,6,14,"23,684",,,"23,803"
