0,1,2,3
,,,6
,Monthly Tourist Arrivals Report –  December 2023,,
,Top primary markets and top potential markets,,
,"Top primary  markets,  December 2023",,
,India,Italy,
,,"Arrivals: 3,389 |  % Share : 1.6",
,"Arrivals : 43,973 | % Share: 20.9",,
,Russia Federation,,
,,Poland,
,"Arrivals: 29,657  | % Share: 14.1","Arrivals: 3,217 | % Share : 1.5",
,United Kingdom,Bangaladesh,
,"Arrivals: 19,265 | % Share : 9.2","Arrivals: 3,185  | % Share : 1.5",
,Germany,N,
,,etherlands,
,"Arrivals : 13,747 | % Share : 6.5",,
,,"Arrivals: 2,672  | % Share : 1.3",
,Australia,Spain,
,"Arrivals: 10,847 | % Share : 5.2","Arrivals: 2,667 | % Share : 1.3",
,China,,
,,Switzerlands,
,"Arrivals: 8,274   | % Share : 3.9",,
,,"Arrivals: 2,654  | % Share : 1.3",
,United States,J,
,,apan,
,"Arrivals : 8,044 | % Share : 3.8","Arrivals: 2,554  | % Share : 1.2",
,Maldives,Czech Republic,
,"Arrivals: 5,968 | % Share:  2.8",,
,,"Arrivals: 2,466 | % Share: 1.2",
,F,Kazakhstan,
,rance,,
N,"Arrivals: 5,509  | % Share:  2.6","Arrivals: 2,399  | % Share : 1.1",
,,Sweden,
,Canada,,
,"Arrivals:  3,640 | % Share : 1.7","Arrivals: 2,118  | % Share : 1.0",
,ote: The top primary markets for Sri Lanka have been identified using visitor arrivals. The previous methodology used to ide ntify,,
the markets was altered due to the current arrival trends in the source markets and the socio economic factors in Sri Lanka. The,,,
"intention is to track these source markets on a go-forward basis to understand future performance of Sri Lanka’s tourism economy,",,,
"including during the projected international tourism recovery period, 2022 -2025.",,,
