0,1,2,3
,,,7
,Monthly Tourist Arrivals Report –   December 2023,,
,"Top potential  markets, December 2023",,
,Austria,New Zeland,
,A,"Arrivals : 1,343 | % Share: 0.6",
,"rrivals : 1,883| % Share : 0.9",,
,Malaysia,,
,,Pakistan,
,"Arrivals : 1,784| % Share : 0.8","Arrivals: 1,168  | % Share: 0.6",
,,Ukraine,
,Singpore,,
,A,"Arrivals: 1,042  | % Share :  0.5",
,"rrivals : 1,601 | % Share: 0.8",,
,,Hungary,
,Belarus,,
,,"Arrivals: 1,040  | % Share: 0.5",
,"Arrivals : 1,566 | % Share : 0.7",,
,Denmark,Norway,
,"Arrivals:  1,440  | % Share: 0.7","Arrivals:  1,035 | % Share: 0.5",
N,ote: The top potential markets for Sri Lanka have been identified using visitor arrivals data. The previous methodology used to,,
identify the markets was altered due to the current arrival trends in the source markets and the socio economic factors in Sr i Lanka.,,,
The intention is  to track these source markets on a go-forward basis to understand future performance of Sri Lanka’s tourism,,,
"economy, including during the projected international tourism recovery period, 2022 -2025.",,,
