0,1,2,3,4,5
"Table 2. Top ten source markets to Sri Lanka, October 2022",,,,,
,,,Tourist Arrivals ( October  2022),,Tourist Arrivals
,Country of,,,,
Rank,,,,,
,Residence,By Air,By Sea,Total,( October 2021)
1,India,"8,862",-,"8,862","8,406"
2,Russian Federation,"6,189",-,"6,189","1,328"
3,United Kingdom,"4,275",-,"4,275","2,241"
4,Germany,"2,881",-,"2,881","1,196"
5,Australia,"2,106",-,"2,106",121
6,Maldives,"1,943",-,"1,943",963
7,Canada,"1,625",-,"1,625",688
8,France,"1,540",-,"1,540",624
9,United States,"1,253",-,"1,253",573
10,Switzerland,889,-,889,403
