0,1,2,3,4,5,6,7,8
Boutique Hotel,40,845,40,845,37,732,36,722
Boutique Villa,49,346,46,325,45,315,46,326
Bungalow,857,"3,513",772,"3,118",533,"2,146",460,1862
"Classified 
Tourist Hotels",156,"15,080",156,"14,717",156,"14,232",155,"14,093"
"F
ive Star",37,"1,687",27,"5,630",25,"5,354",26,"5,354"
"F
our Star",37,"1,903",27,"2,914",24,"2,564",24,"2,513"
"T
hree Star",26,"2,449",25,"2,394",26,"2,513",26,"2,513"
"T
wo Star",28,"3,110",41,"2,068",42,"2,090",41,"2,000"
"O
ne Star",28,"5,931",39,"1,171",39,"1,711",38,"1,1662"
"G
uest House","1,380","15,438","1,328","14,842","1,125","12,553","1,050","11,661"
"Heritage 
Bungalow",4,19,4,19,4,19,4,19
Heritage Home,3,9,3,9,3,9,3,9
Home Stay unit,"1,009","3,049",965,"2,908",776,"2,236",548,"1,672"
Hostels,11,133,11,133,10,109,10,125
"Rented 
Apartment",85,323,83,314,77,253,70,226
Rented Home,10,28,10,36,7,18,5,14
"Themed 
Accommodation",1,11,0,0,0,0,0,0
"Tourist Hotel                  
( Unclassified )",224,"9,326",235,"10,071",246,"10,128",233,"9,636"
