0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Country,Dubai,Chennai,Doha Qatar,London,Vnukovo,Moscow.,Domodedovo,Paris,Delhi,Abu Dhabi,Mumbai,Male,Singapore,Bangalore,Frankfurt,Kuala Lumpur,Colombo,Sharjah,Melbourne,Bahrain,Others,Total
Russia,"4,099",337,475,7,"4,473","4,002","3,452",12,152,"1,012",12,156,26,12,18,408,0,"1,059",4,929,"4,609","25,254"
India,400,"6,790",93,16,0,0,0,3,"1,878",12,"1,190",43,76,"1,133",0,41,3,56,14,6,"2,005","13,759"
United Kingdom,"1,862",279,"1,236","3,545",1,1,0,18,70,252,95,131,143,84,3,167,11,33,36,55,461,"8,483"
Germany,"1,619",151,"2,292",109,3,2,1,300,67,441,92,88,55,60,980,136,"1,111",14,6,61,629,"8,217"
France,"1,430",153,592,73,2,1,0,"1,361",28,190,46,72,28,18,68,66,4,6,7,48,647,"4,840"
Canada,366,311,398,906,2,0,0,658,39,45,152,35,59,90,334,74,5,5,11,2,189,"3,681"
Australia,132,181,47,48,0,0,0,2,41,31,16,43,"1,033",28,1,341,8,7,"1,063",3,643,"3,668"
United States,380,179,767,154,0,1,0,88,94,50,70,90,167,41,16,83,67,18,3,2,366,"2,636"
Maldives,679,22,6,0,0,0,0,0,11,1,2,972,4,78,0,50,0,0,3,1,374,"2,203"
Israel,"1,054",119,13,3,2,1,1,0,12,254,24,10,17,11,2,2,0,6,0,19,318,"1,868"
