0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
PARKS,"LOCAL 
 VISITORS",,,,,,Total,"FOREIGN 
 VISITORS",,,,,,Total
,Jan,Feb,Mar,Apr,May,Jun,,Jan,Feb,Mar,Apr,May,Jun,
Yala,"21,497","20,313","19,247","25,622","15,971","16,647","119,297","16,459","17,292","19,306","16,231","10,190","9,967","89,445"
Horton Plains,"15,650","15,129","11,130","26,215","14,693","20,747","103,564","1,590","2,077","2,414","2,106","1,152","1,247","10,586"
Udawalawa,"8,222","7,991","7,784","11,066","5,277","5,554","45,894","7,051","8,466","9,049","8,122","3,517","2,732","38,937"
Wasgomuwa,645,692,527,"1,269",444,662,"4,239",0,149,139,116,52,46,502
Minneriya,"2,416",768,758,"1,754","1,550","8,793","16,039",702,142,167,203,509,"5,357","7,080"
Bundala,555,455,351,510,285,217,"2,373",282,323,299,214,222,110,"1,450"
Horagolla,"1,129",796,"1,211","1,076",698,984,"5,894",01,0,03,02,04,0,10
Kaudulla,367,41,09,09,05,132,563,17,05,09,0,0,31,62
Galoya,553,656,674,"1,028",566,795,"4,272",178,337,261,246,155,177,"1,354"
Kumana,"1,435","1,253",832,"1,967","1,587","1,759","8,833",46,141,164,179,765,778,"2,073"
Angammedilla,22,96,52,170,52,53,445,01,0,0,0,0,01,02
Galways  Land,924,"1,469",565,"1,716",864,"1,439","6,977",31,13,30,26,06,22,128
Wilpattu,"3,379","3,570","3,397","4,806","2,465","3,180","20,797","1,281","1,427","1,624","1,339",863,"1,161","7,695"
Maduruoya,145,133,65,219,51,181,794,10,08,25,13,02,02,60
Lahugala,54,44,46,60,64,28,296,0,06,04,0,06,01,17
Pigeon Island,0,"1,029","1,942","7,585","4,812","5,591","20,959",0,53,283,487,620,913,"2,356"
Hikkaduwa,"2,982","3,540","1,948","2,928","1,549","2,080","15,027",149,96,102,112,97,26,582
Eth Athuru Sewana,"12,652","8,944","7,774","7,547","6,630","9,647","53,194","4,170","5,465","6,427","4,988","2,633","2,088","25,771"
Kalawewa,0,0,0,0,0,50,50,0,0,0,0,0,0,0
Bareef  - Kalpitiya,"1,249","1,339","1,168","1,618",117,0,"5,491",248,276,407,251,0,0,"1,182"
Mirissa,"1,644","1,340","1,643","2,122",471,373,"7,593","6,093","6,172","7,562","6,374","1,734",965,"28,900"
Girithale,575,621,556,533,433,643,"3,361",07,06,10,0,0,12,35
TOTAL,"76,095","70,219","61,679","99,820","58,584","79,555","445,952","38,316","42,454","48,285","41,009","22,527","25,636","218,227"
