0,1,2,3
,,,7
,Monthly Tourist Arrivals Report –  July 2023,,
,"Top potential  markets, July 2023",,
,,Czech Republic,
,Japan,,
,,Arrivals : 789 | % Share: 0.5,
,"Arrivals: 1,454 | % Share: 1.0",,
,Pakistan,,
,,New Zeland,
,"Arrivals: 1,223  | % Share: 0.8",,
,,Arrivals:  734 | % Share: 0.5,
,Poland,Singpore,
N,Arrivals: 999  | % Share: 0.6,Arrivals: 656 | % Share :  0.4,
,Austria,,
,,Thailand,
,Arrivals: 979 | % Share : 0.6,,
,,Arrivals: 633 | % Share: 0.4,
,Malaysia,South Korea,
,Arrivals:  915  | % Share: 0.6,Arrivals:  628 | % Share: 0.4,
,ote: The top primary markets for Sri Lanka have been identified using visitor arrivals data. The previous methodology used t o,,
identify the markets was altered due to the current arrival trends in the source markets and the socio economic  factors in Sri Lanka.,,,
The intention is to track these source markets on a go -forward basis to understand future performance of Sri Lanka’s tourism,,,
"economy, including during the projected international tourism recovery period, 2022 -2025.",,,
