0,1,2,3
,,,6
,Monthly Tourist Arrivals Report – July 2023,,
,Top primary markets and top potential markets,,
,"Top primary  markets, July 2023",,
,India,,
,,Switzerlands,
,"Arrivals : 23,461 | % Share: 16.4",,
,,"Arrivals: 4,329 |  % Share : 3.0",
,United Kingdom,United States,
,"Arrivals: 17,482 | % Share: 12.2","Arrivals: 4,120 | % Share : 3.0",
,China,,
,,Spain,
,"Arrivals: 10,062 | % Share : 7.0",,
,,"Arrivals: 2,751 | % Share : 2.0",
,Germany,,
,,Italy,
,"Arrivals : 8,013 | % Share : 6.0",,
,,"Arrivals: 2,370 | % Share : 2.0",
,Russia Federation,,
,,Belgium,
,"Arrivals: 8,009 | % Share : 6.0","Arrivals: 2,259 | % Share : 1.5",
,France,,
,,Israel,
,"Arrivals: 7,432 | % Share: 6.0","Arrivals: 1,919  | % Share: 1.3",
,Netherlands,,
,,Denmark,
,"Arrivals: 6,796 | % Share : 5.0",,
,,"Arrivals: 1,721 | % Share : 1.2",
,Maldives,,
,,Norway,
,"Arrivals:  6,286 | % Share: 4.0",,
,,"Arrivals: 1,643 | % Share: 1.1",
,Canada,Saudi Arabia,
,"Arrivals: 5,737 | % Share:  4.0","Arrivals: 1,564   | % Share: 1.0",
N,Australia,Bangaladesh,
,"Arrivals:  5,323 | % Share: 4.0","Arrivals: 1,520  | % Share : 1.0",
,ote: The top primary markets for Sri Lanka have been identified using visitor arrivals. The previous methodology used to ide ntify,,
the markets was altered due to the current arrival trends in the source markets and the socio economic factors in Sri Lanka.  The,,,
"intention is to track these source markets on a go-forward basis to understand future performance of Sri Lanka’s tourism economy,",,,
"including during the projected international tourism recovery period, 2022 -2025.",,,
