0,1,2,3
,,,6
,Top primary markets and top potential markets,,
,Top primary markets - January ~ August 2022,,
,India,Maldives,
,"Arrivals :  80,132  | % Share: 16.1","Arrivals: 10,553  | % Share : 2.1",
,United Kingdom,Switzerland,
,"Arrivals:  65,655  | % Share 13.2","Arrivals:  9,708  | % Share: 2.0",
,Russia,Netherlands,
,"Arrivals:  49,747 | % Share: 10.0","Arrivals: 9,350 | % Share: 1.9",
,Germany,Spain,
,"Arrivals:  40,359 | % Share: 8.1","Arrivals: 9,266 | % Share: 1.9",
,France,Kazakaztan,
,"Arrivals: 28,235  |% Share: 5.7","Arrivals: 7,657 | % Share: 1.5",
,,Czech Republic,
,Canada,,
,,"Arrivals: 6,263 | % Share : 1.3",
,"Arrivals: 19,056 | % Share : 3.8",,
,Australia,Denmark,
,"Arrivals: 18,412 | % Share: 3.7","Arrivals: 5,986  | % Share: 1.2",
,%,,
,United States,Israel,
,"Arrivals: 14,259 | % Share: 2.9","Arrivals: 5,938  | % Share: 1.2",
,Ukraine,Saudi Arabia,
,"Arrivals: 13,908 | % Share: 2.8","Arrivals:  4,827 | % Share: 1.0",
,Poland,,
,,Italy,
,"Arrivals: 13,334 | % Share: 2.7",,
,,"Arrivals: 4,792  | % Share: 1.0",
N,"ote: The top primary markets for Sri Lanka have been identified using visitor arrivals data, during the",,
,last six months. The previous methodology used to identify the markets was altered due to the current,,
,arrival trends in the source markets and the economic crisis in Sri Lanka. The intention is to track these,,
,source  markets  on  a  go-forward  basis  to  understand  future  performance  for  Sri  Lanka’s  tourism,,
,"economy, including during the projected international tourism recovery period, 2022-2025.",,
