0,1,2,3,4,5,6
2023 & 2024,,,,,,
,,2024,,,2023,
Category,,,,,,
,Number of,,Number of,Number of,,Number of
,establishments,,rooms,establishments,,rooms
Boutique Hotel,39,,877,41,,865
Boutique Villa,49,,344,51,,356
Bungalow,"1, 111",,"4,691",984,,"4,078"
Classified Tourist,,,,,,
,169,,"17,182",168,,"16,686"
Hotel,,,,,,
1 Star,41,,"1,852",41,,"1,852"
2 Star,40,,"2,431",41,,"2,499"
3 Star,26,,"2,462",26,,"2,462"
4 Star,31,,"3,834",30,,"3,590"
5 Star,31,,"6,603",30,,"6,283"
Guest House,"1,687",,"19,104","1,679",,"18,622"
Eco lodge,1,,20,1,,20
Heritage Bungalow,4,,19,4,,19
Heritage Home,2,,2,2,,2
Heritage Hotel,2,,312,2,,312
Home Stay Unit,"1,122",,"3,322","1,080",,"3,231"
Hostels,16,,155,12,,143
Rented Apartment,82,,325,86,,328
Rented Home,17,,47,14,,41
Themed,,,,,,
Accommodation &,,,11,,,11
Value-added Activities,,,,-,,-
C,15,,150,,,
amping Site,,,,,,
,1,,25,-,,-
Tourist Apartment hotel,,,,,,
Tourist Hotel,201,,"8,869",221,,"8,515"
Total,"4,519",,"55,455","4,346",,"53,229"
,,,,,,As at 02/01/2025
