0,1,2,3,4,5,6,7,8,9,10,11,12
Chart 11: Visitation of domestic and foreign tourists to Sigiriya,,,,,,,,,,,,
"100,000",,,,,,,,,,,,
,,,,,,,,,,,,"87,318"
"90,000",,,,,,,,,,,,
"80,000",,,,,,,,,,,,
,"73,748",,,,,,,,,,,
,,,,,,"66,460",,,,,,
"70,000",,,,,,,,"64,757",,,,
,,"58,185",,,,,,,,,,
,,,"57,183",,,,,,,,,
"60,000",,,,,"55,442",,,,,,,
,,,,,,,"54,026",,,,,"54,194"
,"52,091",,,,,,,"52,384",,,,
,,,,,,,,,"49,424",,,
,,,,"48,359",,,,,,,,
"50,000",,,,,,,,,,,,
,,,,,,,"42,774",,,,"42,272",
,,"39,487",,,,,,,,,,
"40,000",,,,"35,188",,,,,,"35,659",,
,,,,,,,,,"30,702","30,489",,
,,,"25,581",,,,,,,,"26,149",
"30,000",,,,,,,,,,,,
,,,,,"20,437","19,583",,,,,,
"20,000",,,,,,,,,,,,
"10,000",,,,,,,,,,,,
