0,1,2
Table 09: Total rooms by districts,,
District,Rooms,Percentage
Ampara,831,1.4
Anuradhapura,"1,784",3.2
Badulla,"2,055",3.7
Batticaloa,991,1.8
Colombo,"11,110",20.0
Galle,"8,885",16.0
Gampaha,"4,606",8.3
Hambantota,"2,556",4.6
Jaffna,712,1.3
Kalutara,"4,053",7.3
Kandy,"4,038",7.3
Kegalle,686,1.2
Kilinochchi,108,0.1
Kurunegala,580,1.0
Mannar,45,0.08
Matale,"2,404",4.3
Matara,"2,681",4.8
Monaragala,814,1.5
Mullaitivu,63,0.1
Nuwara Eliya,"2,553",4.6
Polonnaruwa,640,1.2
Puttalam,"1,558",2.8
Rathnapura,769,1.4
Trincomalee,798,1.4
Vavuniya,135,0.2
Total,5,
