0,1,2,3,4
,2025 (Jan -June),,2024 (Jan -June),
Category,,Number,,
,Number of,,Number of,Number of
,,of,,
,establishments,,establishments,rooms
,,rooms,,
Boutique Hotel,39,877,38,835
Boutique Villa,50,347,48,345
Bungalow,"1,169","4,967","1,052","4,390"
Classified Tourist Hotel,166,"17,089",167,"16,808"
1 Star,40,"1,802",40,"1,852"
2 Star,37,"2,029",37,"2,431"
3 Star,27,"2,821",27,"2,408"
4 Star,31,"3,834",31,"3,834"
5 Star,31,"6,603",31,"6,283"
Guest House,"1,746","19,720","1,647","18,445"
Eco lodge,1,20,1,20
Heritage Bungalow,4,19,4,19
Heritage Home,2,2,2,2
Heritage Hotel,2,312,2,312
Home Stay Unit,"1,130","3,326","1,112","3,308"
Hostels,16,155,14,158
Rented Apartment,84,334,82,322
Rented Home,21,58,15,41
Themed Accommodation,1,11,1,11
& Value-added Activities,,,,
Tourist Apartment Hotel,1,25,,
Tourist Hotel,206,"9,440",204,"8,362"
Total,"4,638","56,702","4,390","53,378"
,As at 30/06/2025         * The registrations of Eco lodge and Heritage Hotels were started from 2023 onwards.,,,
