0,1,2,3,4,5,6,7
,,,,Duration of stay,,,
Country,Number of,Jan,Feb,Mar,Apr,May,Jun
,arrivals,,,,,,
India,"241,994",5.18,4.99,5.32,4.81,5.39,4.98
Russian Federation,"112,312",11.96,10.08,11.21,11.35,10.81,8.42
United Kingdom,"107,902",10.53,10.42,10.01,10.09,9.16,9.78
Germany,"74,576",14.96,13.81,13.87,13.12,8.77,12.57
China,"65,787",6.46,6.24,6.12,6.13,5.67,6.05
France,"61,457",11.77,11.13,10.58,10.53,10.17,10.69
Australia,"51,325",11.67,10.15,10.57,11.44,10.36,9.99
United States,"34,413",7.70,7.10,6.65,7.33,8.05,8.23
Bangladesh,"33,137",4.81,5.45,5.31,4.85,5.26,5.44
Netherlands,"26,139",16.26,14.92,15.46,13.69,14.37,14.08
