0,1,2,3
,,,6
,Monthly Tourist Arrivals Report – August 2023,,
,Top primary markets and top potential markets,,
,"Top primary  markets, August 2023",,
,India,,
,,Netherlands,
,"Arrivals : 30,593 | % Share: 22.4",,
,,"Arrivals: 3,429 |  % Share : 3.0",
,United Kingdom,Israel,
,"Arrivals: 15,035 | % Share: 11.0","Arrivals: 3,396 | % Share : 2.4",
,China,,
,,United States,
,"Arrivals: 9,262 | % Share : 6.8",,
,,"Arrivals: 3,107 | % Share : 2.2",
,Germany,,
,,Japan,
,"Arrivals : 8,472 | % Share : 6.2",,
,,"Arrivals: 2,604 | % Share : 2.0",
,Russia Federation,,
,,Maldives,
,"Arrivals: 6,853 | % Share : 5.0","Arrivals: 2,596 | % Share : 2.0",
,France,,
,,Bangaladesh,
,"Arrivals: 6,223 | % Share:  5.0","Arrivals: 1,533 | % Share: 1.1",
,Australia,,
,,Switzerlands,
,"Arrivals: 5,522 | % Share : 4.0",,
,,"Arrivals: 1,483 | % Share : 1.0",
,Italy,,
,,Belgium,
,"Arrivals: 5,110 | % Share: 4.0",,
N,,"Arrivals: 1,330 | % Share: 1.0",
,Canada,Pakistan,
,"Arrivals: 4,735 | % Share:  4.0","Arrivals: 1,264 | % Share: 0.9",
,,Malaysia,
,Spain,,
,,"Arrivals: 1,207 | % Share : 0.8",
,"Arrivals:  4,455 | % Share: 3.2",,
,ote: The top primary markets for Sri Lanka have been identified using visitor arrivals. The previous methodology used to identify,,
the markets was altered due to the current arrival trends in the source markets and the socio economic factors in Sri Lanka.  The,,,
"intention is to track these source markets on a go-forward basis to understand future performance of Sri Lanka’s tourism economy,",,,
"including during the projected international tourism recovery period, 2022 -2025.",,,
