0,1,2,3
"Table 3. Top ten markets to Sri Lanka, January to September 2021 & 2022",,,
,,Tourist Arrivals,Tourist Arrivals
,Country of,,
Rank,,(Jan ~ September,(Jan ~ September
,Residence,,
,,2022),2021)
1,India,"86,625","10,060"
2,United Kingdom,"68,527","2,142"
3,Russian Federation,"51,300","1,253"
4,Germany,"42,508","2,704"
5,France,"29,436","1,457"
6,Australia,"20,721",231
7,Canada,"20,608","1,525"
8,United States,"15,250","1,489"
9,Ukraine,"13,977","2,742"
10,Poland,"13,562",155
11,Others,"163,718","14,166"
