0,1,2,3,4,5
Year,Type of Conference,,Number of Delegates,,Revenue
,Na(cid:415) onal,Interna(cid:415) onal,Local,Foreign,
1988,42,4,"13,850",156,"1,264.30"
1989,34,9,"8,639",592,771.1
1990,31,7,"12,145","2,011","1,201.30"
1991,40,6,"12,000","2,500","1,700.00"
1992,127,33,"69,601","5,248","13,939.30"
1993,141,11,"20,080","5,540","7,798.20"
1994,105,9,"35,080","1,730","4,906.70"
1995,120,10,"40,000","1,900","5,933.20"
1996,152,16,"58,000","1,300","5,411.20"
1997,98,10,"48,415","3,150","4,157.50"
1998,101,5,"49,475","1,550","6,039.40"
1999,125,1,"55,855",350,"4,759.00"
2000,134,4,"54,110",600,"6,685.50"
2001,83,13,"35,001",400,"3,574.50"
2002,577,6,"285,545","1,005","46,244.70"
2003,594,4,"324,565",650,"61,762.10"
2004,642,4,"432,510","1,550","70,700.50"
2005,660,12,"502,335","2,120","101,381.00"
2006,804,17,"916,845","2,560","120,490.40"
2007,844,3,"310,100",625,"142,919.10"
2008,758,3,"294,870",475,"137,504.40"
2009,751,3,289080,725,"146,730.50"
2010,442,1,"175,980",200,"133,426.70"
2011,441,3,"163,275",625,"178,289.50"
2012,496,10,"223,650",4500,"239,228.60"
2013,595,4,"349,850",250,"233,781.40"
2014,768,7,"591,200",1200,"400,210.00"
2015,866,4,"645,000",750,"389,760.10"
2016,994,6,"965,000","1,350","551,405.00"
2017,1068,6,"750,000",850,"648,841.60"
2018,"1,385",5,"100,000","1,000","464,083.80"
