0,1,2
Na(cid:415) onality,2018,"Percentage 
Share (%)"
SOUTHERN EUROPE,"101,939",4.37
Spanish,"27,195",1.17
Italian,"36,865",1.58
Israeli,"13,373",0.57
Others,"24,506",1.05
MIDDLE EAST,"72,786",3.12
Saudi Arabian,"33,663",1.44
Omani,"7,226",0.31
Others,"31,897",1.37
AFRICA,"16,006",0.69
South Africans,"7,257",0.31
Seychellois,983,0.04
Others,"7,766",0.33
NORTH EAST ASIA,"343,870",14.73
Chinese,"269,327",11.54
Japanese,"49,038",2.10
Others,"25,505",1.09
SOUTH ASIA,"549,108",23.53
Indians,"425,110",18.22
Maldivians,"75,086",3.22
Pakistani,"21,116",0.90
Others,"27,796",1.19
SOUTH EAST ASIA,"87,054",3.73
Indonesians,"6,678",0.29
Malaysians,"23,931",1.03
Singaporeans,"19,461",0.83
Others,"36,984",1.58
OCEANIA,"122,815",5.26
Australian,"107,718",4.62
New Zealanders,"14,595",0.63
Others,502,0.02
TOTAL,"2,333,796",100.00
