0,1,2,3,4,5,6,7,8
Loca(cid:415) on,Local Tickets,,Foreign Tickets,,"Vehicle Income 
( Rs )",( Rs),"Total 
number  of 
Visitors","Total Revenue  
(including the 
vehicle and boat 
income)"
,"Local 
Visitors","Local Income 
( Rs)","Foreign 
Visitors",Foreign Income,,,,
Yala,"317,878","19,233,180.00","311,368","684,661,686.43","28,251,000.00",–,"629,246","732,145,866.43"
Horton Plains,"293,626","16,294,220.00","117,632","275,026,263.98","13,514,445.00",–,"411,258","304,834,928.98"
Udawalawa,"199,822","11,867,913.40","211,810","496,658,933.15","79,890,791.60",–,"411,632","588,417,638.15"
Wasgomuwa,"32,708","1,014,850.00","2,545","3,471,106.80","995,025.00",–,"35,253","5,480,981.80"
Minneriya,"93,336","5,529,540.00","97,578","222,656,064.49","6,900,950.00",–,"190,914","235,086,554.49"
Bundala,"85,571","544,070.00","12,199","18,955,547.00","1,280,075.00",–,"97,770","20,819,692.00"
Horagolla,"7,346","266,580.00",5,"7,740.00",–,–,"7,351","274,320.00"
Kaudulla,"129,221","5,081,700.00","157,114","240,671,550.15","14,036,100.00",–,"286,335","259,789,350.15"
Lunugamwehera,"2,892","128,300.00","1,118","1,692,900.00","193,425.00",–,"4,010","2,014,625.00"
Galoya,"12,053","353,940.00","3,783","2,133,300.00","346,700.00","4,558,050.00","15,836","7,391,990.00"
Kumana,"32,538","1,246,480.00","9,554","15,043,414.00","3,142,255.00",–,"42,092","19,432,149.00"
Angmmedilla,"3,704","142,490.00",9,"16,303.00","88,300.00",–,"3,713","247,093.00"
Galways Land,"5,767","215,700.00",277,"421,690.00",–,–,"6,044","637,390.00"
Wilpa(cid:425) u,"60,869","3,547,420.00","32,991","76,883,121.22","4,677,025.00",–,"93,860","85,107,566.22"
Maduruoya,"2,299","102,220.00",570,"994,123.16","144,125.00",–,"2,869","1,240,468.16"
Lahugala,797,"14,646.00",42,"66,440.00","58,050.00",–,839,"139,136.00"
Pigeon Island,"86,885","3,643,460.00","33,120","49,345,715.00",–,"2,770,750.00","120,005","55,759,925.00"
Hikkadauwa,"30,280","139,527.50","3,699",102.240.00,–,–,"33,979","241,767.50"
Eth Athurusevena,"198,043","3,387,505.00","99,880","43,288,078.00",–,–,"297,923","46,675,583.00"
Kalawewa,"1,153","46,080.00",93,"143,850.00","71,550.00",–,"1,246","261,480.00"
Bar Reef - Kalpi(cid:415) ya,"14,000","278,560.00","5,048","6,210,356.00",–,–,"19,048","6,488,916.00"
Total,"1,610,788","73,078,381.90","1,100,435","2,138,450,422.38","153,589,816.60","7,328,800.00","2,711,223","2,372,487,420.88"
