0,1,2
Na(cid:415) onality,2018,"Percentage 
Share (%)"
NORTH AMERICA,"131,117",5.62
Canadian,"52,042",2.23
American,"77,809",3.33
Mexican,"1,266",0.05
"CARIBBEAN, CENTRAL 
& SOUTH AMERICA","8,309",0.36
Argen(cid:415) nian,"1,966",0.08
Brazilian,"2,847",0.12
Others,"3,496",0.15
WESTERN EUROPE,"392,697",16.83
Austrian,"19,671",0.84
Belgian,"17,204",0.74
Deutsch,"157,814",6.76
Dutch,"56,988",2.44
French,"107,191",4.59
Swiss,"32,749",1.40
Others,"1,080",0.05
NORTHERN EUROPE,"339,049",14.53
Bri(cid:415) sh,"256,415",10.99
Danish,"18,541",0.79
Finnish,"8,728",0.37
Irish,"10,721",0.46
Norwegian,"16,811",0.72
Swedish,"27,378",1.17
Others,455,0.02
"CENTRAL & EASTERN 
EUROPE","169,046",7.24
Czech,"17,178",0.74
Polish,"19,673",0.84
Russian,"61,467",2.63
Ukrainian,"33,325",1.43
Others,"37,403",1.60
