0,1,2,3,4,5,6
Year,Peradeniya,Hakgala,Gampaha,Mirijjawila*,Avissawella **,"Total Revenue
In Rs .’000"
1988,"1,019.10",58,1.2,–,–,"1,078.30"
1989,"1,873.10",77.5,4.9,–,–,"1,955.50"
1990,"4,068.30",209,5.7,–,–,"4,283.00"
1991,"5,799.20",372.8,12.7,–,–,"6,184.70"
1992,"8,981.20",584,19.3,–,–,"9,584.50"
1993,"9,608.80",634,23.4,–,–,"10,267.10"
1994,"18,477.50","1,037.40",36,–,–,"19,550.90"
1995,"23,992.20","1,227.90",49.1,–,–,"25,199.20"
1996,"16,082.60",689.1,28.1,–,–,"16,799.80"
1997,"20,931.50",866.5,36.3,–,–,"21,834.30"
1998,"25,481.60","1,211.10",5.3,–,–,"26,698.00"
1999,"31,160.30","1,428.70",45.9,–,–,"32,634.90"
2000,"28,066.60","1,357.00",37.2,–,–,"29,460.80"
2001,"20,250.00",940,36.4,–,–,"21,226.40"
2002,"25,348.20",962.9,34.4,–,–,"26,345.50"
2003,"55,711.30","2,154.20",53.9,–,–,"57,919.40"
2004,"68,010.30","2,613.30",80.4,–,–,"70,704.00"
2005,"104,272.00","6,136.00",23.1,–,–,"32,605.20"
2006,"42,500.70","1,642.70",66.8,–,–,"44,210.00"
2007,"64,257.00","2,202.30",100.2,–,–,"66,599.50"
2008,"66,515.70","2,513.40",90.3,–,–,"69,119.40"
2009,"68,838.30","3,353.40",75,–,–,"72,266.70"
2010,"117,223.80","5,825.40",112.8,–,–,"123,162.00"
2011,"243,093.30","10,271.80",226.9,–,–,"253,592.00"
2012,"265,585.10","13,194.20",265.6,–,–,"279,044.90"
2013,"299,086.90","15,527.00",250.8,6.6,–,"314,871.40"
2014,"350,386.50","18,975.50",312.9,163.3,–,"369,838.40"
2015,"409,288.00","25,402.80",366.8,50,43.7,"435,151.30"
2016,"556,506.40","36,971.90",463.8,173.3,182.4,"594,297.80"
2017,"600,741.00","38,300.00",488,219.7,293.7,"640,042.50"
2018,"627,060.50","45,115.70",554.5,392,305.5,"673,428.20"
