0,1,2,3
"Top ten source markets, May  2023",,,
,,Number of,
Rank,Country,,
,,Tourists,Share %
1,India,"23,016",28%
2,Russian Federation,"7,760",9%
3,Germany,"6,854",8%
4,United Kingdom,"5,987",7%
5,Australia,"4,201",5%
6,China,"4,173",5%
7,Canada,"3,753",5%
8,United States,"3,240",4%
9,Maldives,"2,438",3%
10,France,"2,414",3%
11,O,,23%
,ther,"19,473",
,Total,"83,309",100.00
