0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,SMALL GROUPS,,,TOTAL / 16
,,,,LARGE TOURIST,,,,,,,
,,,,,,,,,,,months
,,,,GROUPS,,,,,,,
,,,,,,FAMILIES/FRIENDS,,COUPLES,SOLO,,
,,,Number,,,,,,,,
,,,,,,,,,Number,,
,,,of large,,Number of,,,,,,
,,,,Average,,,Number of,,of Solos,Avera,Total Tourist
,,,groups,,families/frie,Average,,Average,,,
Type,,,,,,,,,,,
,,,,number,,,couples,,handled,ge,serviced in
,Estima,,,,,,,,,,
,,,handled,,nds groups,number of,,number,,,
of,,,,,,,,,,,
,,,,of,,,handled in,,in the last,numbe,2023/2024 (16
,ted,Active TGs,,,,,,,,,
,,,in the last,,handled in,tourists in,,of,,,
Guide,,,,,,,,,,,
,,,,tourists,,,the last 16,,16,r of,months)
,TGs,,,,,,,,,,
,,,16,,the last 16,a,,tourists,,,
s,,,,,,,,,,,
,,,,in a,,,months by,,months,tourist,(b*c*d)+(b*e*
,,,months,,months by,family/frie,,in a,,,
,,,,large,,,one guide,,by one,s in a,f)+(b*g*h)+(b
,,,by one,,one guide,nds group,,couple,,,
,,,,group,,,average,,guide,solo,*i*j)
,,,guide,,average,,,,,,
,,,,,,,,,average,,
,,,average,,,,,,,,
,(a),(b),(c),(d),(e),(f),(g),(h),(i),(j),(k)
NTG,1892,50% |946,12,12,15,5,7,2,2,1,"256,366"
CTG,1552,95%|1474,0,0,10,5,15,2,6,1,"126,798"
ULT,,,,,,,,,,,
,1460,100%|1460,16,15,12,5,25,2,5,1,"518,300"
G*,,,,,,,,,,,
