0,1,2,3,4,5,6
,Figure 23: TGs composition by the market they handle,,,,,
Indian,,78%,,,,
,,,Italy,10%,Ukraine,3%
Germany,,78%,,,,
,,,,,Kazakasthan,3%
,,,Netherland,10%,,
UK,,76%,,,,
,,,,,Pakisthan,3%
,,,Canada,8%,,
France,,69%,,,,
,,,,,Lithuania,3%
,,,Belgium,7%,,
Australia,,66%,,,,
,,,,,Norway,3%
Russia,,,Israel,6%,,
,,60%,,,,
,,,,,Malaysia,3%
USA,,58%,,,,
,,,,,Singapore,2%
,,,Poland,6%,,
Switzerland,,57%,,,Sweden,2%
,,,Denmark,5%,,
China,,55%,,,Korea,2%
,,,Spain,4%,,
Middle East,45%,,,,Maldives,2%
,,,Czech R,4%,,
Japan,42%,,,,Slovakia,2%
Thailand,35%,,Austria,4%,Bangladesh,2%
