0,1,2,3
June  2023,,,
"During June, the top source markets to Sri Lanka were India,  United Kingdom, Russian",,,
"Federation, Australia,  China and  Germany.  India accounted  for the  highest  percentage",,,
"of arrivals at 27%, while  the  United Kingdom,  Russia, Australia and  China  represented",,,
"8%,  8%,  6%  and  5%  respectively.  These  trends  indicate  changes  in  outbound  travel",,,
"preferences and  travel patterns,  with growth  in  arrivals from  India and  United  Kingdom",,,
and Russia signaling a shift towards emerging destinations.,,,
"The  improved  air  accessibility,  favorable  conditions  within  the  country,  proximity,  and",,,
geopolitical  factors  have  contributed  to  making  India  and  United  Kingdom  the  primary,,,
source of tourism for Sri Lanka.,,,
It's worth noting that the global and  local conditions have influenced the growth rates  of,,,
"arrivals  from  different  countries.  While  countries  like  China,  India,  Germany,  Australia,",,,
and,the  Russian  Federation  have  shown  substantial  growth,"in  arrivals,",the  United
