0,1,2,3
,,,6
Monthly Tourist Arrivals Report – June 2023,,,
,Monthly Tourist Arrivals Report December  2022,,
,Top primary markets and top potential markets,,
,Top primary  markets – June 2023,,
,India,Switzerlands,
,"Arrivals : 26,830 | % Share: 26.7","Arrivals: 1,334 |  % Share: 1.3",
,,Norway,
,United Kingdom,,
,,"Arrivals: 1,281 | % Share: 1.2",
,"Arrivals: 7,981  | % Share: 8.0",,
,Russia Federation,,
,,Italy,
,"Arrivals: 7,968  | % Share :  7.9",,
,,"Arrivals: 1,265 | % Share : 1.2",
,Australia,,
,,Netherlands,
,"Arrivals: 6,195 | % Share : 6.1",,
,,"Arrivals: 1,258  | % Share: 1.2",
,,Spain,
,China,,
,,"Arrivals: 1,229 | % Share: 1.2",
,"Arrivals: 5,105 | % Share : 5.0",,
,Germany,,
,,Singpore,
,"Arrivals: 5,090 | % Share: 5.0",,
,,"Arrivals: 1,164  | % Share: 1.1",
,Canada,Bangaladesh,
,"Arrivals: 4,509 | % Share : 4.5","Arrivals: 1,072 | % Share : 1.0",
,,Japan,
,Maldives,,
,,"Arrivals: 1,017   | % Share: 1.0",
,"Arrivals:  4,080 | % Share: 4.0",,
,United States,,
,,Israel,
,"Arrivals: 3,806 | % Share: 3.7",,
,,Arrivals: 856   | % Share: 0.8,
,France,New Zeland,
,"Arrivals:  2,895 | % Share: 2.9",Arrivals: 853    | % Share : 0.8,
N,ote:  The  top  primary  markets  for  Sri  Lanka  have  been  identified  using  visitor  arrivals.  The  previous,,
,methodology  used  to  identify  the  markets  was  altered  due  to  the  current  arrival  trends  in  the  source,,
,markets and  the socio  economic factors  in Sri  Lanka. The  intention is  to track  these source  markets  on,,
,"a  go-forward  basis  to  understand  future  performance  of  Sri  Lanka’s  tourism  economy,  including  during",,
,"the projected  international  tourism  recovery  period,  2022-2025.",,
