0,1,2,3,4,5
"Table 2. Top ten source markets to Sri Lanka, June 2023",,,,,
,,,Tourist Arrivals (June 2023),,Tourist Arrivals
,Country of,,,,
Rank,,,,,
,Residence,,,,
,,By Air,By Sea,Total,( June 2022)
,India,"23,514","3,316","26,830","6,810"
1,,,,,
2,United Kingdom,"7,931",50,"7,981","3,368"
3,Russian Federation,"7,968",0,"7,968","1,610"
4,Australia,"4,900","1,295","6,195","2,511"
5,China,"5,102",03,"5,105",231
6,Germany,"5,086",04,"5,090","2,466"
7,Canada,"4,485",24,"4,509","2,308"
8,Maldives,"4,080",0,"4,080","1,130"
9,United States,"3,631",175,"3,806","1,647"
10,France,"2,895",0,"2,895","1,717"
