0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Chart	3:	Tourist	Arrivals	Growth	Change	–	2001	to	2017,,,,,,,,,,,,,,,,
50.0,,,,,,,,,,,,,,,,
,,,,,,,,,,46.1,,,,,,
40.0,,,,,,,,,,,,,,,,
30.0,,,,,,,,,,30.8,,,,,,
,,,27.3,,,,,,,,,26.7,,,,
20.0,,,,,,,,,,,,,19.8,,,
,,,,,,,,,,,17.5,,,17.8,,
,,16.7,,,,,,,,,,,,,,
% CHANGE,,,,,,,,,,,,,,,14.0,
,,,,13.1,,,,,,,,,,,,
10.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.2
,,,,,,1.9,,,2.1,,,,,,,
0.0,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,1011,12,13,14,15,16,17
,,,,,-3.0,,,,,,,,,,,
-10.0,,,,,,,,,,,,,,,,
,,,,,,,-11.7,-11.2,,,,,,,,
,-15.9,,,,,,,,,,,,,,,
-20.0,,,,,,,,,,,,,,,,
,,,,,,,,,YEAR,,,,,,,
