0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Monthly	Occupancy	Rates	in	Tourist	Hotels	by	Region	–	2017,,,,,,,,,,,,,,,
,Number,,,,,,,,,,,,,,
,,Rooms,,,,,,,,,,,,,Annual
,of Units,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
,,**,,,,,,,,,,,,,O/R
,**,,,,,,,,,,,,,,
Colombo City,41,"5,310",73.20,69.70,72.80,67.92,79.53,72.86,71.17,81.57,75.06,78.20,78.34,83.41,75.31
Greater Colombo,62,"3,225",73.44,71.62,73.11,63.49,73.30,71.33,70.03,77.32,75.76,73.35,76.32,78.68,73.14
1.	North	of	Colombo,53,"2,734",76.78,71.90,73.50,64.58,69.83,72.12,70.62,77.81,77.06,73.04,75.32,79.21,73.48
11.	South	of	Colombo,9,491,70.10,71.33,72.71,62.39,76.77,70.54,69.45,76.82,74.45,73.66,77.33,78.16,72.81
South Coast,145,"8,270",75.22,74.07,70.90,67.32,68.54,70.11,70.53,73.29,76.69,71.05,72.39,78.44,72.38
1.	Up	to	Galle,80,"5,202",75.68,75.91,71.96,67.68,73.55,68.29,69.90,74.63,78.32,73.47,76.51,78.63,73.71
11.	Beyond	Galle,65,"3,068",74.76,72.22,69.83,66.96,63.54,71.94,71.17,71.95,75.05,68.64,68.27,78.25,71.05
East Coast,27,1129,70.65,76.10,74.48,66.78,68.09,74.88,69.08,79.30,79.12,73.19,68.31,75.38,72.95
Hill Country,36,1356,69.46,73.43,75.03,70.86,70.27,78.84,68.63,74.24,77.95,72.63,72.18,79.10,73.55
Ancient Cities,84,"4,024",73.67,75.36,73.11,68.89,66.27,72.20,69.74,79.68,78.73,71.45,77.44,79.70,73.85
1.	Kandy	Area,33,"1,697",75.13,76.88,77.04,68.01,68.05,70.97,68.99,82.71,81.19,70.82,79.24,82.93,75.16
11.	Anuradhapura	Area,15,451,74.42,78.18,74.19,66.22,67.82,73.29,67.54,81.19,78.80,69.02,75.52,80.45,73.89
111.	Polonnaruwa	/	Giritale,9,413,74.15,76.77,73.60,69.91,65.68,68.39,70.08,76.92,79.53,71.08,74.53,79.19,73.32
1V.Habarana/Sigiriya/,,,,,,,,,,,,,,,
,27,1463,70.99,69.61,67.61,71.43,63.52,76.15,72.34,77.91,75.38,74.89,80.45,76.24,73.04
Dambulla,,,,,,,,,,,,,,,
Northern Region,6,163,67.08,68.77,68.09,65.92,68.63,78.14,66.91,72.05,73.41,72.33,74.31,76.12,70.98
All Regions,401,"23,477",72.70,73.40,72.57,67.39,69.61,73.03,69.66,77.26,77.11,72.58,75.03,78.92,73.27
