0,1,2,3,4,5,6
Chart	17	:	Distribution	of	Total	Seating	Capacity	by	Carrier	(percentage),,,,,,
–	2017,,,,,,
,,,,Air	Line,Winter,Summer
,,,,Sri	Lankan	Airlines,51.2,50.8
,60.0,,,,,
,,,,Emirates,9.0,10.1
,50.0,,,,,
,,,,Qatar	Airways,6.4,4.4
,40.0,,,,,
,30.0,,,Fly	Dubai,3.7,4.3
Share of Total Seating Capacity,20.0,,,Jet	Airways,2.7,3.1
,10.0,,,,,
,,,,China	Eastern	Airlines,2.3,1.7
,0.0,,,,,
,,,,Oman	Air,2.1,2.4
,,,,Air	Asia	Berhad,1.8,1.6
,,,,Saudi	Arabian	Airlines,1.7,1.4
,,,Air Lines,,,
,,,,Cathay	Pacific	Airways,1.7,1.9
,,Winter,Summer,,,
,,,,Others,17.4,18.3
Source:	Civil	Aviation	Authority,,,,,,
