0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Country South Asia,Malaysian Airlines798,"Malindo Air1,681","Oman Air1,516","Qatar Airlines3,509",Royal flight,airlines14,Saudi Arabi-an Airlines311,Silk Air224,"Singapore Airlines1,126","Spice Jet22,293 263,083",SriLankan Airlines,"Sriwijaya Air53,862",Thai Airways705,Turkish Airline557,Ukraine int.,Airlines58,"Charter Fights7,118","By Sea7,114"
India,331,448,783,"1,875",,10,153,137,779,"22,115","199,394","37,762",297,461,,38,"6,245","6,126"
Bangladesh,35,876,44,92,,2,11,12,49,39,"9,165","3,027",162,28,,2,411,248
Pakistan,43,131,247,559,,1,102,8,18,4,"21,165","5,186",58,20,,4,124,174
Maldives,173,133,46,227,,0,41,14,113,33,"32,358","7,721",85,13,,8,255,13
Others,216,93,396,756,,1,4,53,167,102,"1,001",166,103,35,,6,83,553
Australasia,"6,154","3,941",379,"2,153",,19,143,"1,878","14,126",291,"21,841","3,965","4,009",225,,69,"5,024",539
Australia,"5,307","3,561",309,"1,944",,17,36,"1,594","12,493",231,"19,378","3,491","3,724",197,,62,"4,533",451
New	Zealand,846,379,63,201,,2,5,284,"1,631",59,"2,365",474,283,27,,7,491,68
Others,1,1,7,8,,0,102,0,2,1,98,0,2,1,,0,0,20
Total,"16,704","15,503","46,197","159,418","16,782",,"15,909","6,711","34,718","27,870 641,634",,"136,434","24,338 20,490",,"16,950",,"51,379","25,644"
