0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Passenger	Arrivals	&	Departures	and	by	Port	–	1981	to	2017,,,,,,,,,,,,,,
,Katunayake,,Mattala,,Port of Colombo,,Port of Galle,,Talaimannar,,Other Ports,,Total,
,,,,,,,,,Arriv-,,,,,
Year,Arrivals,Departures,Arrivals,Departures Arrivals Departures Arrivals Departures,,,,,,Departures Arrivals Departures,,,Arrivals,Departures
,,,,,,,,,als,,,,,
1981,"493,619","562,421",-,-,-,-,-,-,"82,003","72,800","2,599","2,456","578,221","637,677"
1982,"584,326","546,490",-,-,-,-,-,-,"95,108","106,876","2,226","2,175","681,660","655,541"
1983,"559,276","534,217",-,-,-,-,-,-,"70,402","93,168","1,862","2,277","631,540","629,662"
1984,"593,883","650,812",-,-,-,-,-,-,"61,568","99,796","1,738","1,760","657,189","752,368"
1985,"543,397","585,213",-,-,-,-,-,-,-,-,"1,927","1,735","545,324","586,948"
1986,"570,304","591,448",-,-,-,-,-,-,-,-,"1,875","1,561","572,179","593,009"
1987,"512,289","548,408",-,-,-,-,-,-,-,-,"1,797","1,533","514,086","549,941"
1988,"516,400","544,760",-,-,-,-,-,-,-,-,"2,100","2,200","518,500","546,960"
1989,"552,189","563,027",-,-,-,-,-,-,-,-,"1,493","1,286","553,682","564,313"
1990,"603,595","581,698",-,-,-,-,-,-,-,-,"3,493","1,756","607,088","583,454"
1991,"646,869","712,073",-,-,-,-,-,-,-,-,"2,706","2,366","649,575","714,439"
1992,"764,453","836,310",-,-,-,-,-,-,-,-,"2,794","2,919","767,247","839,229"
1993,"813,535","823,841",-,-,-,-,-,-,-,-,"3,551","3,134","817,086","826,975"
1994,"893,387","892,778",-,-,-,-,-,-,-,-,"4,120","4,392","897,507","897,170"
1995,"912,877","946,109",-,-,-,-,-,-,-,-,"5,897","8,105","918,774","954,214"
1996,"857,727","851,272",-,-,-,-,-,-,-,-,"3,628","3,668","861,355","854,940"
1997,"904,712","916,397",-,-,-,-,-,-,-,-,"3,793","3,578","908,505","919,975"
1998,"921,343","938,656",-,-,-,-,-,-,-,-,"3,793","3,619","925,136","942,275"
1999,"970,311","977,066",-,-,-,-,-,-,-,-,"3,595","3,114","973,906","980,180"
2000,"999,418","970,383",-,-,-,-,-,-,-,-,2933,2827,"1,002,351","973,210"
