0,1,2,3
40,,,Sri Lanka Tourism Development Authority  »»»  Statistical Report 2017
5.1		Public	Sector	Revenue,,,
Public	 sector,institutions	 derive	 revenue,from	 tourism,million	collected	in	the	previous	year	(without	the	revenue
"in	 a	 variety	 of	 ways,	 namely	 direct	 and",,"indirect	 taxes,",from	conservation	forests).
,"fees	 and	 levies,	 profits	 from	 business	 undertakings,	 etc.",,
,,,"Out	of	the	total	revenue	collected	in	2017,	the	top	three"
"However,	statistics	 of",revenue	 collections	 are,readily,
,,,contributors	 were:	 Cultural	 Triangle	 Entrance	 Fees	(Rs.
available	 only	from,"few	 sources,	 such	 as	 the	 Tourism",,
,,,"3,774.4	 million),	 Embarkation	 Taxes	 (Rs.	 2,378.8	 million)"
,"Development	Levy,	Embarkation	Tax,	Income	of	Sri	Lanka",,
,,,"and	 the	 Wildlife	 Parks	 (Rs.1,730.7	 million	 ).	 The	 revenue"
,"Tourism	 Development	 Authority,	 and	 entrance	 fees	 to",,
,,,"earned	from	Conservation	Forests	was	25.4	million,	while"
,"Cultural	Triangle	sites,	Wildlife	Parks,	Conservation	Forests,",,
,,,"the	 Tourism	 Development	 Levy,	 Zoological	 Gardens	 and"
,"Museums,	 Zoological	 Gardens	 and	 Botanical	 Gardens,",,
,,,"Botanical	Gardens	also	contributed	considerable	amounts,"
and,Income	 of	 Bandaranaike	 Memorial,International,
,,,"recording	Rs.	1,541.5	million,	Rs.	728.9	million	and	Rs.	640"
,Conference	 Hall	 (BMICH).	 The	 revenue	 collections	 from,,
,,,million	respectively.
,some	of	these	sources	are	given	in	Tables	32	to	40	in	the,,
Statistical	Appendix.,,,The	government	earns	a	substantial	amount	of	income	in
,,,addition	 to	 the	 above	 revenue	 through	 indirect	 means.
,"In	2017,	the	total	revenue	collected	from	the	listed	sources",,
,,,The	 figures	 presented	 are	 only	 partial	 indicators	 of	 the
,"amounted	to	Rs.	11,767.6	million,	compared	to	Rs.	10,630.5",,
,,,total	revenue	from	tourism.
,Chart	24:	Distribution	of	Public	Sector	Revenue	from	Tourism	(Percentage)	–	2017,,
