0,1,2,3,4,5,6,7
Sri Lanka Tourism Development Authority  »»»  Statistical Report 2017,,,,,,,11
"Chart	1:	International	Tourist	Arrivals,	Change	(%)",,,,,,,
11,,,,,,,
9 7,,,,,,+6.8,
5,,,,,,,
3,,,,,,,
1,,,,,,,
-1,,,,,,,
-3,,,,,,,
-5,,,,,,,
08/0703/0204/0305/0407/0606/0500/9901/0002/01,09/08,10/09,11/10,12/11,13/12,17*/1615/1416/1514/13,
,Source:	World	Tourism	Organization	(UNWTO),,,,,,
,"Chart1a:	International	Tourist	Arrivals,	Change	by	Region	,2017	(%)",,,,,,
10,,,,,,,
,,,,,,6.8,
,,,,8.6,,,
8.3,,,,,,world average,
5.6,,,,,,,
,,,,,,4.6,
9 8 7 6 5 4 3 2 1 0,4.0,,,,,,
EuropeAsia and the,Americas,,,Africa,,Middle East,
Pacific,,,,,,,
,"Source:	UNWTO	Tourism	Highlights,	2018	Edition",,,,,,
