0,1,2,3,4,5,6,7,8
Table	9(a)	(contd.),,,,,,,,
,,,,Year,,,,
Charter Carrier,,,,,,,,
,2010,2011,2012,2013,2014,2015,2016,2017
Edelweiss	Air,"2,908",371,612,-,-,,,378
British	Airways,,,,,,,104,
Ukraine	Airline,,,,,,5,"4,152",
TOM	938,-,-,976,-,-,,,
EL	AL	Israel	Airlines,,,,,,,32,
First	Choice,"5,713",727,-,-,-,,,
Arkeyfly,-,-,"2,140",-,-,,,
VIM	Airlines,-,-,-,626,-,,,
Island	Aviation,,,,,,502,,
Albanian	Airlines,,,,,,,40,
Thomson	Airways,,,,,,,"1,931","10,532"
Royal	Flight	Airline,,,,,,,806,
NVR,"1,952","8,757","3,918",-,-,,,
Sriwijay	Airlines,,,,,,,395,
Neo	Spa,,,,,,,671,
Ethiopian	Airline,,,,,,,62,
Russia	Airline,-,798,-,-,-,,,
Others,679,411,"3,255",-,"2,611",336,118,"11,230"
Total,"14,675","15,122","18,681","17,387","5,965","4,068","13,144","51,379"
