0,1,2,3,4,5,6,7,8,9,10
Country of,2011,,2012,,2013,,2014,,2015,
Residence,,,,,,,,,,
LATIN AMERICA &,,"1,036",,"1,626",,"3,166",,"4,124",,"4,628"
THE CARIBBEAN,,,,,,,,,,
Argentina,,148,,387,,400,,509,,550
Chille,,-,,-,,255,,366,,433
Colombia,,-,,-,,268,,340,,466
Brazil,,362,,476,,803,,"1,071",,"1,341"
Others,,526,,763,,"1,440",,"1,838",,"1,838"
WESTERN EUROPE-,,"4,533",,"5,387",,"12,252",,"15,439",,"16,798"
OTHERS,,,,,,,,,,
Greece,,"1,240",,"1,415",,"4,010",,"5,002",,"5,144"
Ireland,,"1,452",,"1,951",,"4,512",,"5,163",,"5,970"
Portugal,,"1,032",,"1,284",,"2,097",,"2,620",,"3,001"
Others,,809,,737,,"1,633",,"2,654",,"2,683"
OTHERS,,"17,897",,"21,651",,"35,853",,"54,553",,"54,553"
Bulgaria,,375,,789,,754,,193,,"1,511"
Czech. Republic,,"5,548",,"5,877",,"8,881",,"11,736",,"15,278"
Hungary,,911,,"1,418",,"1,653",,"2,697",,"2,955"
Poland,,"5,817",,"5,806",,"9,688",,"13,370",,"13,245"
Romania,,726,,"1,029",,"1,687",,"2,331",,"3,107"
Slovakia,,"1,314",,"2,040",,"1,731",,"2,411",,"4,214"
Lithuania,,673,,"1,078",,"1,405",,"1,858",,"1,764"
Turkey,,664,,"1,460",,"2,399",,"2,500",,"3,108"
Kazakhstan,,160,,996,,"2,362",,"3,750",,"6,371"
Others,,"1,709",,"1,158",,"5,293",,"13,707",,"3,000"
AFRICA -OTHERS,,"1,652",,"1,997",,"4,715",,"8,008",,"8,182"
Algeria,,64,,114,,129,,36,,278
Kenya,,394,,645,,507,,665,,601
Mauritius,,160,,284,,288,,347,,430
Nigeria,,378,,684,,550,,487,,390
Sudan,,-,,-,,426,,718,,665
Others,,656,,270,,"2,815",,"5,755",,"5,818"
MIDDLE  EAST,,"57,501",,"56,169",,"80,509",,"88,991",,"101,066"
Baharain,,"1,819",,"2,016",,"2,743",,"2,699",,"2,697"
Iran,,"2,223",,"1,815",,"2,058",,"2,809",,"3,486"
Isreal,,"6,164",,"7,212",,"8,545",,"8,058",,"7,790"
Jordan,,"1,478",,"1,852",,"2,976",,"2,998",,"3,370"
Kuwait,,"2,812",,"3,245",,"7,427",,"8,170",,"6,522"
Lebanon,,"1,960",,"2,116",,"3,371",,"3,714",,"4,829"
Oman,,"2,177",,"2,602",,"7,634",,"12,756",,"14,216"
Saudi Arabia,,"15,081",,"19,423",,"23,753",,"30,875",,"36,617"
Qatar,,"2,788",,"2,271",,"1,073",,"1,400",,"1,547"
UAE,,"17,664",,"11,083",,"8,471",,"9,895",,"10,576"
Egypt,,767,,800,,"1,806",,"2,179",,"2,734"
Others,,"2,568",,"1,734",,"10,652",,"3,438",,"6,682"
ASIA -OTHERS,,4862,,5172,,"5,815",,"7,395",,"6,765"
Myanmar,,914,,1108,,"2,848",,"2,644",,"2,794"
Vietnam,,735,,906,,"1,163",,"1,432",,"1,798"
Afganistan,,363,,649,,559,,699,,587
Bhutan,,824,,831,,266,,425,,397
Others,,"2,026",,"1,678",,979,,"2,195",,"1,189"
TOTAL,,"87,481",,"92,002",,"142,310",,"178,510",,"191,992"
