0,1,2,3,4,5,6,7
Table A-1,,,,,,,
,,,,,,,increased in the past four consecutive years from 21.1 per
,World Tourist Arrivals by Regions in million (2013 to,,,,,,
2015),,,,,,,cent to 21.9 per cent of the world tourism share.
,2013,2014,2015,,% Change,,B - Tourism Demand - Volume and Value
Region,,,,,,,
,,,,13/12,14/13,15/14,
,,,,,,,(B-1) Volume
Africa,54.7,56.0,53.0,4.4,0.3,-3.3,
Americas,168.1,180.6,191.0,3.1,8.4,4.9,
,,,,,,,"Surpassing all previous records, tourist arrivals reached to"
Asia & Pacific,249.8,263.0,277.0,6.9,5.8,4.8,
,,,,,,,"a new milestone of 1,798,380 arrivals in 2015 registering"
Europe,566.3,588.4,609.0,4.8,2.4,5.0,
,,,,,,,17.8 per cent increase compared to 2014. Total number of
Middle East,48.2,50.3,54.0,-2.9,6.7,3.1,
,,,,,,,nights spent by the tourists who visited the country during
World,"1,087","1,138","1,184",4.6,4.2,4.4,
,,,,,,,the year could be taken as a better and stable measure of
Source - World Tourism Organization,,,,,,,
