0,1,2,3,4,5,6,7
Charter Carrier,2009,2010,2011,2012,2013,2014,2015
Aerosvit Airline,-,-,-,-,-,101,
Indian Airforce,-,-,-,-,-,49,
Orient Flights,-,-,-,-,-,86,
Quantas AL,-,-,-,-,-,244,
Spirit of Africa AL,-,-,-,-,-,353,
Balair,-,-,-,-,-,-,
Lot Polish Airlines,-,-,-,-,"5,873","2,513","2,144"
Enter Air,-,-,-,-,"2,927",-,
Fin Air,-,"3,423",-,-,-,-,
Transaero Russia,-,-,-,-,-,-,800
Azur Air,-,-,-,-,-,-,281
Wind Rose Airlines,-,-,-,-,"4,494",-,
U.T.A.(Charter),-,-,-,-,-,-,
Orenburg Airlines,-,-,-,-,"1,581",-,
TNT,-,-,-,"1,183",-,-,
Condor,-,-,-,"3,827",-,6,
Transaero Airlines,-,-,-,-,636,-,
PB Air,-,-,"2,645",-,-,-,
Meridiana,-,-,337,"2,770",-,2,
Travel Service,-,-,-,-,517,-,
Travels Service Poloska,-,-,-,-,733,-,
Air Monarach,-,-,-,-,-,-,
Smart Wings(QS),"1,438",-,"1,076",-,-,-,
Edelweiss Air,"1,226","2,908",371,612,-,-,
CSA Czech Airline,-,-,-,-,-,-,
Ukraine Airline,-,-,-,-,-,-,5
TOM 938,-,-,-,976,-,-,
My Travel,-,-,-,-,-,-,
First Choice,"2,805","5,713",727,-,-,-,
Arkeyfly,,-,-,"2,140",-,-,
VIM Airlines,-,-,-,-,626,-,
Island Aviation,-,-,-,-,-,-,502
Euro Fly,-,-,-,-,-,-,
NVR,-,"1,952","8,757","3,918",-,-,
Rossia Airline,-,-,798,-,-,-,
Others,-,679,411,"3,255",-,"2,611",336
Total,"5,469","14,675","15,122","18,681","17,387","5,965","4,068"
