0,1,2,3,4,5
,,Regional Distribution of World Tourism Arrivals (2012,,,
"around  the  world   reached  1,184  million  in  2015,  an",,,,,
,to 2015),,,,
"increase  of  4.4  percent,  over  the  previous  year.Overall",,,,,
demand  was robust  with  51  million  more tourists,,,,,
,,,,Relative Share,
travelling the world.,Region,,,,
,,2012,2013,2014,2015
,,,,,
Year 2015 marks the 6th consecutive year of above-average,Africa,5.0,5.0,4.9,4.5
"growth,  with international  arrivals increasing  by  4%",Americas,15.7,15.5,15.9,16.1
or  more  every  year  since  the  post-crisis  year  of  2010.,E. Asia & Pacific,21.1,21.5,21.6,21.9
“International tourism  reached  new  heights in  2015.,Europe,52.0,52.1,51.7,51.4
The  robust  performance  of  the  sector  is  contributing  to,Middle East,4.8,4.4,4.4,4.6
economic  growth  and  job  creation  in  many  parts  of  the,South Asia,1.4,1.5,1.5,1.5
world. It is thus critical for countries to promote policies,,,,,
,Total,100,100,100,100
"that  foster  the  continued  growth  of  tourism,  including",,,,,
,,Source - World Tourism Organization,,,
