0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
recognized from the following Table. (Table B-1),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,% change,
,,,,,,,,Market Region,,,,,,,
Table B-1,,,,,,,,,2012,2013,2014,2015,2013/2012,2014/2013,2015/2014
Relative Importance of Tourism as FE Earner,,,,,,,,America-North,"59,236","65,616","72,653","84,943",10.8,10.7,16.9
,,,,,,,,Asia-North East,"73,942","102,851","185,907","273,844",39.1,80.8,47.5
,2014,,,,2015,,,Asia -South East,"58,788","82,748","94,604","89,013",36.5,10.8,(5.9)
,,,,,,,,Asia -South,"247,559","326,556","370,299","459,415",31.9,13.4,24.1
,,,,,,% of,,,,,,,,,
,FE,%of,,,FE,,,,,,,,,,
,,,,,,Total,,,,,,,,,
,Earnings,Total,,,Earnings,,,Australasia,"57,776","60,836","65,252","71,672",5.3,7.3,9.8
Sector,,,Rank,Sector,,FE,Rank,,,,,,,,
,(Rs.,FE,,,(Rs.,,,,,,,,,,
,,,,,,Earnings,,Europe-West,"373,063","421,037","479,007","552,442",12.9,13.8,15.3
,Million),Earnings,,,Million),,,,,,,,,,
,,,,,,,,Europe-East,"72,401","125,695","154,153","148,458",73.6,22.6,(3.7)
Workers’,,,,Workers’,,,,,,,,,,,
,"916,344",29.3%,1,,"948,957",29.1%,1,Middle East,"56,169","80,509","88,991","101,066",43.3,10.5,13.6
Remittances,,,,Remittances,,,,,,,,,,,
,,,,,,,,Others,"6,671","11,247","16,287","17,527",68.8,95.4,7.6
Textiles &,,,,Textiles &,,,,,,,,,,,
,"643,688",20.6%,2,,"654,794",20.1%,2,Total,"1,005,605","1,274,593","1,527,153","1,798,380",26.7,19.8,17.8
Garments,,,,Garments,,,,,,,,,,,
Tourism,"317,479",10.2%,3,Tourism,"405,492",12.4%,3,,,,,,,,
,,,,,,,,,Tourist arrivals from different source market regions for,,,,,,
Transportation,,,,Transportation,,,,,,,,,,,
,,,,,,,,,,,,,,,
Services,"251,086",8.0%,4,Services,"286,017",8.8%,4,,the  past  four  consecutive  years  is  indicated  in  table  c-1.,,,,,,
,,,,,,,,,"As  a  whole,  it  is  noteworthy  that  all  the  source  markets",,,,,,
Tea,"212,588",6.8%,5,Tea,"182,054",5.6%,5,,,,,,,,
,,,,,,,,,shows  significant  growth  of  their  arrivals  except  Asia  –,,,,,,
,,,,,,,,,,,,,,,
,,,,Computer &,,,,,South East Region and Europe- East Region in year 2015.,,,,,,
Rubber based,,,,Information,,,,,,,,,,,
,"116,168",3.7%,6,,"109,314",3.3%,6,,,,,,,,
,,,,,,,,,,,,,,,
Products,,,,Technology,,,,,Western  Europe  showed  an  increase  of  15.33  per  cent,,,,,,
,,,,Services,,,,,,,,,,,
,,,,,,,,,compared  to  the  previous  year.  South  Asia  was  second,,,,,,
,,,,,,,,,,,,,,,
Computer &,,,,,,,,,"major source market, recording 24.1 percent of increase",,,,,,
Information,,,,Rubber based,,,,,,,,,,,
,"97,652",3.1%,7,,"103,263",3.2%,7,,,,,,,,
,,,,,,,,,,,,,,,
Technology,,,,Products,,,,,"compared  to  the  year  2014.  Further,  North  East  Asia,",,,,,,
Services,,,,,,,,,,,,,,,
,,,,,,,,,"Europe  East  and  Middle  East  placed  third,  fourth  and",,,,,,
"Gems,",,,,,,,,,,,,,,,
Diamonds and,"51,385",1.6%,8,Spices,"51,278",1.6%,8,,"fifth  positions  recording  increase  of  47.5  per  cent,  drop",,,,,,
Jewellery,,,,,,,,,,,,,,,
,,,,,,,,,of 3.69 per cent and increase of 13.6 percent respectively,,,,,,
,,,,Petroleum,,,,,,,,,,,
Coconut,"46,517",1.5%,9,,"50,461",1.5%,9,,as  compared  to  the  last  year.  Rest  of  the  source  market,,,,,,
,,,,Products,,,,,,,,,,,
,,,,,,,,,"regions recorded decrease during the year, showing Asia-",,,,,,
Others,"472,429",15.1%,,Others,"473,616",14.5%,,,,,,,,,
Total,"3,125,336",100.0%,,Total,"3,265,245",100.0%,,,South East by 5.9 per cent and increase in Australasia 9.84,,,,,,
,,,,,,,,,"per cent.It should be noted that as a whole, all the markets",,,,,,
